"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	"AFRICA"	-2761.46	-2837.187	-2950.076	-3062.333	-3176.749	-3301.414	-3440.127	-3605.915	-3815.634	-4084.011	-4405.176	-4745.334	-5075.322	-5363.518	-5580.723	-5734.274	-5842.466
108	"Burundi"	-79.02	-100.708	-117.138	-136.049	-159.058	-185.663	-214.111	-242.319	-268.57	-292.369	-315.059	-335.47	-352.236	-365.687	-377.736	-389.289	-399.225
174	"Comoros"	-10.846	-10.691	-12.045	-13.41	-14.703	-15.828	-16.776	-17.593	-18.333	-19.056	-19.796	-20.492	-21.107	-21.654	-22.156	-22.616	-23.082
262	"Djibouti"	-4.704	-1.593	1.408	4.147	6.219	7.525	8.148	8.158	7.745	7.174	6.83	6.829	7.061	7.503	8.377	9.828	11.469
232	"Eritrea"	-91.441	-78.597	-76.698	-74.815	-73.642	-73.932	-76.403	-81.44	-88.774	-97.613	-106.96	-115.666	-121.756	-123.991	-121.372	-115.106	-107.328
231	"Ethiopia"	-199.514	-183.5	-198.481	-211.916	-225.132	-243.806	-274.595	-318.613	-378.449	-455.919	-552.941	-662.988	-770.814	-849.689	-880.625	-861.134	-809.293
404	"Kenya"	-15.079	-20.722	-28.388	-36.505	-45.563	-55.343	-64.834	-73.911	-84.105	-96.202	-109.601	-122.904	-136.449	-150.319	-162.592	-172.811	-181.736
450	"Madagascar"	-8.212	-4.563	-10.058	-15.593	-21.659	-29.007	-38.392	-49.708	-61.895	-74.117	-85.746	-96.447	-107.105	-119.268	-133.813	-150.372	-167.731
454	"Malawi"	-83.627	-28.603	-50.704	-74.131	-98.581	-125.868	-154.069	-178.111	-191.264	-191.283	-184.756	-183.955	-198.083	-227.415	-269.439	-318.282	-368.609
480	"Mauritius"	-8.995	-14.205	-14.39	-14.5	-14.5	-14.353	-14.054	-13.638	-13.172	-12.709	-12.244	-11.75	-11.216	-10.622	-9.969	-9.287	-8.604
175	"Mayotte"	-0.518	-0.029	0.035	0.072	0.036	-0.066	-0.219	-0.38	-0.468	-0.421	-0.27	-0.034	0.274	0.626	0.932	1.142	1.283
508	"Mozambique"	-140.159	-17.77	-55.372	-96.212	-140.044	-182.366	-219.45	-253.768	-287.27	-320.356	-355.314	-392.698	-431.956	-468.197	-495.642	-512.667	-520.922
638	"R~A(c)union"	-6.287	-6.215	-5.236	-4.268	-3.337	-2.537	-1.913	-1.469	-1.175	-1.005	-0.918	-0.873	-0.814	-0.749	-0.699	-0.686	-0.711
646	"Rwanda"	-12.352	-58.686	-37.865	-18.421	-3.311	3.657	1.116	-6.165	-16.112	-25.504	-32.42	-35.467	-36.625	-40.993	-49.33	-59.99	-72.301
690	"Seychelles"	-0.879	-0.907	-0.881	-0.859	-0.852	-0.862	-0.884	-0.906	-0.92	-0.92	-0.905	-0.879	-0.842	-0.793	-0.735	-0.672	-0.608
706	"Somalia"	-111.531	-33.975	-0.749	29.712	56.669	79.034	94.501	100.468	89.731	60.193	21.429	-10.523	-23.476	-19.676	-4.683	17.883	52.158
728	"South Sudan"	383.571	185.896	157.151	126.842	94.785	60.479	26.349	-6.952	-37.4	-62.599	-81.302	-90.663	-88.747	-75.789	-51.198	-19.187	16.824
800	"Uganda"	-148.359	-107.657	-136.12	-162.856	-185.04	-200.553	-209.392	-214.106	-219.308	-229.505	-245.192	-263.25	-281.17	-297.302	-309.835	-319.603	-330.12
834	"United Republic of Tanzania"	-28.795	33.763	45.813	55.061	60.402	63.571	67.137	72.158	76.894	76.894	69.777	59.097	48.257	36.097	18.358	-3.118	-26.927
894	"Zambia"	-16.184	-12.51	-12.522	-12.629	-13.177	-14.474	-16.906	-20.719	-26.575	-34.183	-42.736	-51.891	-61.595	-71.85	-81.942	-92.007	-101.875
716	"Zimbabwe"	-203.581	-188.825	-190.85	-193.116	-196.528	-201.949	-209.793	-219.744	-230.596	-240.874	-249.607	-256.787	-261.78	-264.027	-263.286	-260.478	-256.97
24	"Angola"	-43.433	-111.387	-164.635	-211.958	-249.628	-277.424	-297.15	-311.777	-323.721	-334.831	-347.075	-363.619	-388.938	-427.221	-477.509	-534.816	-594.372
120	"Cameroon"	-74.723	-83.448	-92.602	-102.237	-112.667	-123.93	-135.952	-148.652	-161.835	-174.916	-187.234	-198.794	-210.147	-221.291	-231.967	-241.899	-251.371
140	"Central African Republic"	6.518	7.825	9.101	10.162	11.065	11.831	12.252	12.156	11.49	10.369	9.104	7.984	6.825	5.55	4.392	3.518	2.794
148	"Chad"	75.784	31.102	17.009	3.718	-8.46	-19.746	-31.281	-43.715	-56.984	-69.48	-79.35	-85.457	-88.172	-88.547	-88.979	-92.16	-97.821
178	"Congo"	-15.44	-0.286	1.375	2.899	4.294	5.623	6.916	8.028	8.788	9.021	8.639	7.866	6.772	5.184	3.198	1.042	-1.197
180	"Democratic Republic of the Congo"	118.814	184.275	228.119	263.368	287.676	302.031	311.541	318.985	326.994	341.145	356.876	374.582	387.657	384.949	350.101	290.148	215.659
226	"Equatorial Guinea"	5.103	4.472	3.474	2.764	2.44	2.693	3.399	4.392	5.439	6.458	7.554	8.866	10.18	11.284	12.283	12.896	13.167
266	"Gabon"	11.418	13.882	15.387	16.893	18.381	19.828	21.177	22.382	23.411	24.185	24.696	24.924	24.848	24.482	23.933	23.35	22.756
678	"Sao Tome and Principe"	-4.925	-3.668	-3.84	-4.004	-4.152	-4.278	-4.385	-4.516	-4.692	-4.923	-5.164	-5.381	-5.595	-5.789	-5.941	-6.085	-6.252
12	"Algeria"	-241.094	-274.313	-297.8	-320.702	-341.898	-360.224	-374.69	-385.088	-391.979	-396.529	-399.55	-401.201	-401.788	-402.02	-402.959	-405.026	-407.945
