"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	"AFRICA"	-11307.68	-14101.655	-15353.098	-16622.087	-17931.319	-19298.578	-20729.054	-22220.476	-23775.567	-25394.814	-27093.583	-28880.654	-30750.268	-32661.401	-34641.551	-36685.415	-38780.683
108	"Burundi"	-860.318	-1071.118	-1246.386	-1422.186	-1600.667	-1785.662	-1976.394	-2170.51	-2373.098	-2591.41	-2832.83	-3099.52	-3390.837	-3701.956	-4020.378	-4327.352	-4619.349
174	"Comoros"	-45.714	-57.354	-63.426	-69.385	-75.072	-80.387	-85.419	-90.432	-95.738	-101.272	-106.734	-111.845	-116.544	-121.117	-125.828	-130.509	-135.103
262	"Djibouti"	-221.554	-224.013	-250.817	-277.049	-301.454	-323.284	-342.145	-357.515	-370.18	-381.526	-392.273	-402.85	-413.999	-425.899	-439.116	-455.193	-472.802
232	"Eritrea"	-587.696	-628.532	-690.718	-755.914	-826.103	-901.903	-982.385	-1066.788	-1155.311	-1245.617	-1332.584	-1409.253	-1475.077	-1534.551	-1595.224	-1660.049	-1730.256
231	"Ethiopia"	-4931.934	-5943.183	-6685.67	-7442.952	-8231.997	-9049.214	-9879.545	-10705.286	-11503.615	-12226.937	-12860.238	-13424.96	-13944.373	-14445.177	-14926.839	-15400.512	-15883.459
404	"Kenya"	-629.574	-813.208	-969.238	-1123.497	-1271.157	-1407.637	-1529.55	-1642.569	-1754.424	-1868.581	-1980.945	-2091.466	-2201.341	-2309.158	-2409.772	-2496.17	-2571.183
450	"Madagascar"	-238.645	-366.921	-453.735	-541.45	-631.971	-726.997	-829.089	-940.597	-1062.156	-1194.247	-1337.605	-1494.341	-1667.739	-1861.412	-2071.651	-2287.883	-2502.781
454	"Malawi"	-2013.092	-2434.567	-2806.804	-3180.883	-3572.249	-4000.127	-4469.738	-4981.098	-5536.158	-6129.415	-6761.655	-7431.811	-8150.354	-8939.357	-9805.171	-10743.053	-11722.604
480	"Mauritius"	-48.081	-59.29	-58.137	-56.854	-55.416	-53.822	-52.169	-50.485	-48.802	-47.135	-45.513	-43.92	-42.378	-40.937	-39.626	-38.351	-37.015
175	"Mayotte"	-24.86	-29.72	-32.78	-35.772	-38.718	-41.687	-44.81	-48.237	-52.043	-56.117	-60.375	-64.864	-69.531	-74.285	-79.089	-83.906	-88.749
508	"Mozambique"	-2631.666	-2773.872	-3185.887	-3608.886	-4056.366	-4533.22	-5031.99	-5538.587	-6057.875	-6609.34	-7201.919	-7855.302	-8566.04	-9302.122	-10026.977	-10740.01	-11446.202
638	"R~A(c)union"	-51.054	-48.057	-48.507	-48.833	-49.024	-49.188	-49.34	-49.445	-49.567	-49.746	-50.051	-50.523	-50.993	-51.32	-51.578	-51.764	-51.867
646	"Rwanda"	-2516.839	-2439.861	-2664.646	-2898.449	-3146.869	-3405.584	-3667.185	-3923.096	-4164.075	-4388.449	-4597.517	-4790.975	-4968.64	-5134.063	-5288.605	-5430.072	-5559.262
690	"Seychelles"	-6.569	-7.772	-7.751	-7.719	-7.676	-7.639	-7.625	-7.623	-7.637	-7.665	-7.69	-7.71	-7.742	-7.805	-7.901	-8.017	-8.14
706	"Somalia"	-3004.482	-3045.912	-3792.907	-4545.407	-5317.578	-6128.153	-6996.541	-7930.575	-8921.261	-9942.373	-10966.771	-11990.977	-13030.393	-14098.103	-15253.242	-16497.7	-17807.711
728	"South Sudan"	-1562.706	-2166.99	-2625.608	-3086.301	-3538.715	-3973.216	-4389.686	-4807.849	-5248.222	-5722.887	-6220.685	-6724.635	-7230.807	-7727.063	-8206.359	-8676.41	-9139.425
800	"Uganda"	-1228.536	-1494.404	-1858.265	-2222.12	-2584.98	-2937.042	-3269.801	-3584.323	-3886.105	-4176.701	-4451.672	-4713.015	-4977.359	-5262.307	-5571.312	-5901.022	-6239.205
834	"United Republic of Tanzania"	-1318.241	-1601.005	-1927.286	-2259.225	-2607.423	-2984.746	-3400.381	-3861.317	-4362.674	-4898.712	-5466.977	-6069.552	-6721.764	-7444.047	-8246.273	-9109.074	-10000.95
894	"Zambia"	-290.202	-369.498	-453.772	-540.001	-628.484	-719.238	-813.12	-910.21	-1009.495	-1110.019	-1212.888	-1317.773	-1424.72	-1534.555	-1648.695	-1768.698	-1893.825
716	"Zimbabwe"	-708.546	-852.64	-915.227	-977.581	-1040.481	-1105.985	-1175.005	-1244.845	-1310.23	-1367.726	-1416.36	-1457.127	-1496.813	-1540.611	-1590.822	-1645.258	-1700.943
24	"Angola"	-1149.88	-1351.351	-1652.562	-1956.186	-2266.161	-2590.617	-2937.741	-3311.23	-3702.454	-4101.199	-4507.188	-4928.292	-5371.57	-5825.574	-6284.681	-6747.299	-7219.158
120	"Cameroon"	-305.753	-430.45	-509.222	-586.799	-662.549	-736.339	-807.643	-876.111	-942.702	-1008.76	-1075.045	-1141.118	-1207.214	-1273.515	-1339.028	-1403.27	-1466.79
140	"Central African Republic"	-124.908	-139.44	-149.717	-159.544	-168.649	-177.157	-185.616	-193.618	-199.825	-203.317	-203.594	-200.91	-196.459	-191.989	-189.006	-188.028	-188.342
148	"Chad"	-440.617	-670.929	-815.934	-960.056	-1102.724	-1244.48	-1385.942	-1529.36	-1678.155	-1836.021	-2006.526	-2187.641	-2376.98	-2573.04	-2775.943	-2984.256	-3194.781
178	"Congo"	-126.913	-126.643	-144.61	-162.844	-181.251	-199.884	-219.223	-239.673	-261.527	-284.907	-309.687	-335.234	-361.535	-389.057	-417.145	-444.92	-472.926
180	"Democratic Republic of the Congo"	-2697.18	-3331.22	-3901.717	-4468.196	-5036.409	-5632.013	-6283.426	-6998.357	-7778.92	-8618.24	-9500.757	-10396.477	-11270.264	-12113.526	-12947.586	-13790.702	-14670.557
226	"Equatorial Guinea"	-209.154	-221.764	-249.265	-277.197	-306.731	-338.006	-370.342	-403.951	-438.54	-473.996	-510.109	-547.552	-584.828	-618.796	-647.476	-671.276	-693.719
266	"Gabon"	-22.927	-37.55	-42.784	-47.945	-52.967	-57.826	-62.431	-66.626	-70.288	-73.358	-75.914	-78.369	-81.186	-84.483	-88.013	-91.481	-94.734
678	"Sao Tome and Principe"	-23.677	-25.52	-27.768	-30.05	-32.42	-34.904	-37.496	-40.183	-42.862	-45.456	-48.03	-50.612	-53.318	-56.195	-59.317	-62.846	-66.703
12	"Algeria"	-860.182	-1080.876	-1153.963	-1224.871	-1292.156	-1355.832	-1415.611	-1471.084	-1523.103	-1568.783	-1602.898	-1624.448	-1632.386	-1625.246	-1605.371	-1575.324	-1541.453
818	"Egypt"	-1520.099	-1989.394	-2224.715	-2461.602	-2699.552	-2936.735	-3169.114	-3389.203	-3588.697	-3768.911	-3941.102	-4118.546	-4310.185	-4522.577	-4755.87	-5000.408	-5243.51
434	"Libya"	-822.033	-775.783	-728.959	-682.82	-638.361	-597.292	-560.832	-528.796	-500.884	-477.055	-456.833	-439.993	-426.682	-416.534	-408.228	-400.582	-393.819
504	"Morocco"	-1073.287	-1340.081	-1403.363	-1461.575	-1510.072	-1546.818	-1570.336	-1581.535	-1582.079	-1574.396	-1562.885	-1550.786	-1537.819	-1522.629	-1505.444	-1490.765	-1480.18
729	"Sudan"	-2750.301	-2870.311	-3120.742	-3373.2	-3629.702	-3890.807	-4158.253	-4437.069	-4727.123	-5035.246	-5365.666	-5711.017	-6053.935	-6376.367	-6679.907	-6978.309	-7271.643
788	"Tunisia"	-478.553	-566.669	-584.962	-602.063	-616.635	-628.557	-637.986	-645.328	-650.618	-652.733	-649.452	-640.456	-628.151	-615.543	-605.334	-597.06	-589.404
732	"Western Sahara"	-96.533	-155.994	-170.042	-183.751	-196.792	-208.875	-220.156	-231.117	-241.649	-251.245	-258.997	-264.778	-269.143	-271.793	-272.277	-270.745	-267.995
72	"Botswana"	-52.046	-87.508	-98.433	-108.838	-118.035	-125.454	-130.67	-133.67	-135.183	-136.215	-137.43	-139.162	-141.4	-143.852	-146.015	-147.652	-148.978
426	"Lesotho"	-90.091	-105.194	-112.683	-120.078	-127.406	-134.557	-141.406	-148.066	-154.75	-161.466	-167.986	-174.11	-179.789	-185.026	-189.589	-193.352	-196.698
516	"Namibia"	-175.423	-202.056	-221.251	-239.469	-255.835	-269.718	-280.652	-288.839	-295.278	-301.077	-306.905	-312.814	-318.807	-324.937	-330.525	-334.735	-337.667
710	"South Africa"	-715.517	-1144.161	-1235.761	-1320.072	-1388.678	-1437.255	-1467.078	-1482.57	-1490.105	-1488.759	-1475.734	-1452.929	-1421.951	-1389.274	-1363.843	-1349.26	-1342.185
748	"Swaziland"	-73.675	-82.814	-86.012	-89.234	-92.55	-95.862	-99.045	-102.021	-104.942	-107.892	-110.706	-113.371	-115.885	-118.285	-120.734	-123.319	-126.061
204	"Benin"	-281.975	-363.636	-410.43	-457.198	-503.486	-550.57	-599.79	-650.962	-702.643	-753.28	-802.767	-850.513	-895.633	-937.271	-974.865	-1007.917	-1036.507
