"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	"AFRICA"	5003.672	7650.997	9202.317	10746.415	12266.052	13766.341	15266.251	16763.148	18262.293	19731.604	21160.799	22554.574	23925.594	25272.146	26585.246	27903.632	29236.116
108	"Burundi"	788.928	989.026	1233.837	1485.38	1754.694	2050.473	2384.435	2760.245	3168.667	3595.764	4028.196	4442.015	4818.484	5161.804	5495.534	5829.874	6150.193
174	"Comoros"	31.512	39.79	47.538	55.144	62.527	69.5	75.925	81.754	86.952	91.545	95.331	98.207	100.261	101.872	103.388	105.127	106.844
262	"Djibouti"	252.358	278.338	293.911	309.246	324.585	340.913	359.157	380.138	403.427	427.387	451.689	475.876	498.717	520.179	541.814	564.124	585.717
232	"Eritrea"	368.106	531.443	597.894	664.876	733.93	806.105	879.797	953.576	1031.234	1117.928	1215.162	1319.935	1426.662	1530.876	1625.788	1714.992	1805.422
231	"Ethiopia"	4668.644	6339.045	7169.509	8006.488	8833.723	9643.246	10449.159	11246.608	12026.435	12760.348	13414.364	13973.173	14511.223	15055.429	15614.104	16206.87	16842.471
404	"Kenya"	593.377	754.677	890.6	1026.986	1165.798	1307.351	1449.116	1588.122	1716.913	1828.084	1921.028	1996.536	2057.327	2102.839	2130.497	2141.353	2140.518
450	"Madagascar"	216.079	284.475	391.12	499.439	611.171	728.851	855.696	992.499	1137.313	1287.505	1441.723	1601.08	1765.402	1929.239	2086.267	2232.868	2372.299
454	"Malawi"	2050.9	2308.826	2821.417	3333.218	3849.432	4368.369	4885.291	5407.557	5950.793	6536.551	7183.404	7892.077	8646.715	9404.943	10130.54	10844.606	11574.49
480	"Mauritius"	31.436	41.808	42.936	43.758	44.07	43.921	43.444	42.712	41.78	40.833	40.152	39.78	39.49	39.165	38.85	38.633	38.491
175	"Mayotte"	21.594	29.34	37.967	46.489	54.897	63.175	71.387	79.573	87.712	95.772	103.751	111.514	118.974	125.819	131.888	137.37	142.801
508	"Mozambique"	2089.576	2828.519	3287.197	3738.632	4178.112	4619.085	5076.936	5561.94	6087.459	6654.206	7251.743	7847.949	8408.998	8933.349	9450.717	9970.461	10499.327
638	"R~A(c)union"	37.768	46.866	48.369	49.843	51.226	52.55	53.8	54.936	55.962	56.902	57.621	58.09	58.392	58.922	59.876	61.255	62.757
646	"Rwanda"	2151.167	2478.809	2795.606	3124.151	3470.685	3835.163	4203.106	4557.888	4893.87	5209.44	5497.09	5761.581	6026.228	6297.117	6573.521	6867.111	7179.847
690	"Seychelles"	4.611	5.931	6.437	6.937	7.418	7.857	8.235	8.526	8.713	8.79	8.806	8.774	8.698	8.616	8.554	8.536	8.551
706	"Somalia"	3275.313	3621.812	4280.821	4964.176	5695.429	6491.771	7377.436	8380.447	9517.47	10782.558	12112.463	13492.353	14904.739	16266.171	17499.948	18632.022	19686.635
728	"South Sudan"	2502.808	2713.263	3239.906	3771.863	4321.438	4897.809	5503.221	6136.907	6799.884	7485.119	8177.6	8850.258	9465.261	9970.875	10392.627	10789.26	11196.208
800	"Uganda"	1125.005	1434.236	1758.448	2084.747	2414.067	2748.861	3098.115	3475.775	3885.34	4320.994	4773.436	5235.398	5706.578	6178.19	6651.052	7113.047	7559.552
834	"United Republic of Tanzania"	1164.464	1502.826	1944.261	2389.589	2846.148	3311.981	3781.31	4257.04	4747.183	5255.389	5781.949	6327.982	6897.068	7493.555	8122.438	8779.037	9452.594
894	"Zambia"	243.097	345.669	423.042	501.145	581.202	665.14	754.182	847.793	942.629	1035.633	1126.399	1215.326	1303.912	1394.941	1489.608	1589.231	1692.075
716	"Zimbabwe"	351.629	500.233	588.472	675.057	759.525	838.984	911.435	979.1	1043.444	1108.55	1177.979	1251.549	1323.742	1388.38	1440.487	1483.86	1524.57
24	"Angola"	977.209	1210.608	1361.902	1527.941	1731.282	1979.545	2268.719	2591.512	2937.2	3290.115	3634.188	3962.845	4269.682	4564.114	4873.777	5221.617	5594.005
120	"Cameroon"	156.01	244.205	318.944	392.395	464.667	536.741	609.41	682.272	754.549	824.866	891.312	953.013	1011.065	1067.15	1122.655	1177.778	1232.662
140	"Central African Republic"	134.338	161.143	173.783	186.139	197.766	207.704	215.195	220.353	223.769	226.132	228.156	230.09	232.45	235.67	239.424	243.586	248.412
148	"Chad"	571.351	713.283	923.564	1138.135	1362.955	1602.25	1858.697	2136.038	2433.345	2747.404	3077.81	3416.968	3751.811	4067.748	4361.037	4645.512	4931.467
178	"Congo"	90.731	114.609	137.099	159.306	181.393	203.791	227.141	251.513	276.451	301.497	327.424	354.554	381.754	407.2	430.447	451.602	470.461
180	"Democratic Republic of the Congo"	2821.384	3816.699	4605.133	5403.425	6210.518	7015.091	7815.284	8631.542	9483.302	10378.848	11309.908	12251.744	13178.301	14113.658	15083.692	16071.781	17072.732
226	"Equatorial Guinea"	226.334	252.993	281.674	311.01	341.332	372.802	405.432	439.262	473.938	510.241	549.266	591.699	637.267	684.298	729.731	769.741	804.044
266	"Gabon"	44.468	56.749	66.83	76.799	86.6	96.099	104.836	112.375	118.559	123.438	127.304	130.745	134.315	138.33	143.198	148.955	155.064
678	"Sao Tome and Principe"	12.884	23.069	27.059	30.888	34.497	37.921	41.289	44.94	49.355	54.692	60.565	66.251	71.063	74.434	76.131	76.339	75.705
12	"Algeria"	411.223	595.617	678.401	758.147	830.412	892.796	946.697	996.134	1043.374	1088.687	1131.113	1171.57	1212.692	1254.657	1294.383	1330.454	1366.039
818	"Egypt"	876.744	1176.348	1517.382	1854.983	2183.194	2499.385	2811.979	3130.276	3455.873	3781.613	4094.448	4382.073	4636.636	4861.684	5061.439	5247.939	5432.973
434	"Libya"	16.549	196.706	258.061	316.958	371.551	421.949	468.676	512.272	554.481	597.261	638.262	675.206	707.304	733.788	755.503	773.586	789.893
504	"Morocco"	239.654	385.011	482.714	575.896	660.137	736.425	806.142	867.297	917.448	954.673	977.802	989.568	995.556	1002.429	1014.096	1026.943	1039.916
729	"Sudan"	2127.116	2735.845	3120.094	3500.143	3879.548	4261.694	4634.852	4994.499	5345.429	5700.441	6071.753	6460.679	6860.627	7250.092	7626.169	7989.11	8332.566
788	"Tunisia"	365.18	444.307	490.286	537.098	585.173	633.757	679.778	719.35	750.067	770.122	776.692	769.721	753.95	735.708	721.056	711.661	705.967
732	"Western Sahara"	67.236	172.312	190.399	206.794	220.453	232.143	242.966	253.458	263.952	274.645	285.316	296.244	307.719	319.789	332.001	343.282	353.52
72	"Botswana"	88.127	114.538	127.393	140.061	152.215	163.727	174.698	185.348	195.587	204.398	210.551	214.243	216.552	218.773	221.906	226.08	230.825
426	"Lesotho"	35.67	47.637	58.983	70.235	81.307	92.199	102.697	112.37	121.063	128.819	135.397	140.757	145.493	150.01	154.493	158.949	163.456
516	"Namibia"	149.817	189.776	215.159	240.379	265.272	288.22	307.124	321.627	332.404	340.668	347.536	354.205	362.234	371.364	380.132	388.722	397.179
710	"South Africa"	1929.204	2087.435	2208.904	2321.326	2417.856	2497.234	2561.751	2616.333	2667.131	2713.611	2749.407	2773.453	2791.467	2811.096	2835.403	2860.644	2885.95
748	"Swaziland"	45.254	51.474	54.557	57.743	61.074	64.405	67.474	70.073	71.956	73.138	73.853	74.052	73.869	73.679	73.627	73.558	73.53
204	"Benin"	234.6	331.284	387.858	442.645	495.962	549.331	604.622	662.92	724.271	786.987	845.659	896.191	935.961	965.523	986.442	1000.945	1010.959
854	"Burkina Faso"	85.533	181.113	290.098	401.115	515.482	634.129	758.144	889.815	1030.489	1180.994	1342.171	1515.765	1704.71	1909.277	2125.331	2347.71	2576.273
132	"Cabo Verde"	48.565	73.49	81.016	88.366	95.445	102.307	108.79	114.532	119.721	124.401	128.421	131.36	132.728	132.24	130.304	127.447	124.183
384	"C~A'te d'Ivoire"	1010.331	1384.517	1920.252	2459.182	3002.246	3542.928	4070.365	4582.474	5085.697	5594.982	6128.284	6691.61	7298.157	7971.776	8716.002	9509.087	10324.529
270	"Gambia"	186.674	212.186	258.264	304.642	351.434	398.245	445.139	493.013	543.61	597.42	654.799	717.166	786.755	862.134	940.899	1018.635	1095.103
288	"Ghana"	1549.57	1683.322	1910.417	2143.752	2383.655	2624.809	2863.851	3097.582	3325.926	3543.847	3740.588	3925.172	4106.373	4278.725	4446.521	4623.515	4812.165
324	"Guinea"	1452.656	1674.336	2049.708	2423.61	2795.422	3164.484	3523.309	3876.239	4234.169	4611.112	5006.937	5402.97	5768.638	6088.692	6342.343	6520.441	6654.873
624	"Guinea-Bissau"	23.859	44.001	60.12	76.354	92.884	109.906	127.665	146.277	165.414	184.406	202.57	219.836	236.209	251.968	267.52	283.078	298.356
430	"Liberia"	899.648	1240.47	1374.154	1517.356	1675.064	1847.771	2034.82	2230.839	2424.737	2609.582	2794.942	2991.994	3213.34	3477.205	3799.02	4166.623	4551.216
466	"Mali"	253.068	495.878	707.059	919.838	1134.612	1347.147	1557.884	1772.516	2001.375	2248.606	2510.224	2776.955	3037.816	3287.384	3530.895	3781.373	4040.356
478	"Mauritania"	47.547	72.348	91.643	110.867	129.878	148.568	166.886	185.262	204.203	223.421	242.671	263.197	285.243	308.292	331.202	353.404	375.293
562	"Niger"	251.195	308.752	499.501	698.097	913.32	1149.637	1408.207	1685.031	1975.081	2271.036	2567.913	2863.847	3165.34	3471.25	3780.051	4088.642	4392.526
566	"Nigeria"	2646.534	3396.174	4007.754	4615.726	5214.8	5806.15	6384.652	6949.177	7510.629	8085.74	8678.819	9325.329	10061.826	10898.777	11840.017	12866.841	13940.766
686	"Senegal"	412.254	501.329	672.977	851.773	1045.735	1259.914	1497.736	1756.278	2028.155	2304.168	2578.515	2851.111	3121.57	3389.428	3653.53	3916.521	4184.091
694	"Sierra Leone"	679.296	950.483	1059.522	1165.344	1264.349	1357.399	1449.495	1548.94	1658.207	1770.947	1879.463	1981.305	2075.396	2157.952	2235.481	2314.108	2394.242
