"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"
900	"WORLD"	-0.00199999999972533	4.2632564145606e-13	-4.54747350886464e-13	0.00100000000156797	0.00100000000384171	-0.00100000000020373	9.09494701772928e-13	-0.00199999999949796	-3.63797880709171e-12	1.81898940354586e-12	-0.00299999999879219	-0.00100000000020373	-3.63797880709171e-12
903	"AFRICA"	-581.412	-571.699	-931.805	-978.564	-2269.813	-2026.376	-2098.63	-1846.882	337.499	-2534.411	-1580.68	-1813.334	-2899.795
108	"Burundi"	-69.947	-70.048	-84.989	-57.9	-260.594	-150.288	-86.002	-44.32	-250	-404.999	112.532	163.733	40
174	"Comoros"	0	-6.116	-8.491	-5.5	-5.5	10	-4.5	-4.5	-3	-6	-10	-10	-10
262	"Djibouti"	0.999	5	18	25	34.997	91.193	9.999	89.998	-15	-16.501	-18.151	-19.965	-15.996
232	"Eritrea"	0.997	3	6.997	4.999	10	10	10	-40	-400.002	-70	110.001	-160.001	-160.001
231	"Ethiopia"	-19.999	-20	-19.999	-42.182	-59.597	-2024.797	250.001	780.074	1445.274	-155.577	-83.182	-50.132	-60.001
404	"Kenya"	0	0	-20	-19.535	-17.915	-2.93	3.805	5.023	221.569	-21.386	25.144	-189.33	-50
450	"Madagascar"	0	0	0	-8	-19	-30	-8	-8	-7	-6	-5	-5	-5
454	"Malawi"	-33.348	-42.873	-61.928	-61.928	-52.404	-33.348	-28.605	913.937	-899.584	-36.82	-36.82	-36.82	-30
480	"Mauritius"	2.662	-8.097	-30.869	-29.156	-20.463	-20.617	-21.632	-35.977	-5.611	-8.858	-19.372	-12.079	0
175	"Mayotte"	2.619	2.459	2.314	0.454	0.496	-0.987	3.794	6.055	10.734	4.664	0.2	-2	-1.5
508	"Mozambique"	-23.5	-23.5	-23.5	-23.5	-23.5	87.373	-373.366	-1300	650	-50	37.504	-50	-25
638	"R~A(c)union"	2.545	-3.943	-2.436	12.306	-23.731	-18.024	3.09	-1.996	9.589	9.746	-0.89	-12.422	-12.561
646	"Rwanda"	0	0	-140.001	20	-20	-20	-50.002	29.999	-1347.866	1210.134	-72.601	-75.001	-75.001
690	"Seychelles"	-1.882	-2.168	-0.851	-0.998	0.23	-0.2	-3.099	-5.295	0.625	-0.135	2.513	-1.111	-1.551
706	"Somalia"	0	-1.04	-1.046	1.489	-0.006	1587.565	-832.045	-632.286	-893.365	-100.004	-200	-350	-400
728	"South Sudan"	0	0	0	0	25	60	150	-405	-1076	400	432	785	865
800	"Uganda"	0	0	125.2	53.33	-240.53	-166.66	-115.34	233.366	119.995	-45.737	-5	-135	-150
834	"United Republic of Tanzania"	0	0	26.997	36.024	118.989	-22.25	37.181	68.208	591.285	-205.874	-295.952	-265.317	-199.999
894	"Zambia"	0	0	2.5	-4.245	26.662	17.573	58.483	2.822	-22.952	79.445	-93.014	-124.044	-34.49
716	"Zimbabwe"	-3	-4.997	-10.001	-27.996	-30.36	-101.516	141.524	120.505	-191.803	-200	-395.554	-307.65	-219.922
24	"Angola"	0	-75	-135	-201.155	-80.955	11.455	234.149	-150.282	142.811	-126.701	172.594	85.286	102.322
120	"Cameroon"	0	0	0	-1	-2.5	-8	-55	-65	-80	-80	-90	-90	-60
140	"Central African Republic"	0	0	11.93	13.145	-20.075	-1	40.165	-40.982	37.392	11.293	-45	5	10
148	"Chad"	0	-2.5	-5	-40.95	-49.05	-175.5	-131.245	1.418	-10.374	69.444	218.966	70	100
178	"Congo"	0	0	0	0.5	6.945	-7.408	2.097	1.915	15.531	35.3	-13.257	49.872	-60
180	"Democratic Republic of the Congo"	0	75	122.65	241.91	27.45	100.685	-446.86	74.515	1202.404	-1006.384	-241.564	-43.426	-95.92
226	"Equatorial Guinea"	0	0	0	0	-70	-30	65	15	15	20	25	20	20
266	"Gabon"	2.999	2.999	9.41	16.188	2.999	4.999	4.999	4.999	4.999	9.566	9.566	9.566	5
678	"Sao Tome and Principe"	-9.139	-3.478	-9.152	-0.744	-2.509	-1.221	-5.999	-5.999	-5.599	-8.293	-5.599	-5.599	-5.599
12	"Algeria"	-310.417	-191.853	-284.266	-121.335	-247.822	-224.833	-81.02	-93.302	-128.679	-164.413	-205.228	-357.34	-143.268
818	"Egypt"	-50.1	-50.1	-50.1	-239.7	-546.796	-563.569	-389.781	-205.428	-452.508	-204.143	-67.708	-279.228	-215.681
434	"Libya"	0	46.022	45.891	48.002	58.665	57.534	113.38	5.49	3.965	8.736	-11.679	-82.008	-501.692
504	"Morocco"	0	-13.001	-240.922	-477.753	-497.677	-293.328	-320.659	-418.575	-466.627	-559.38	-694.821	-577.912	-310.624
729	"Sudan"	0	0	0	0	20	180	220	150	1350	-490	-430	-500	-800
788	"Tunisia"	-18.667	-192.419	-142.495	-96.523	-97.065	-72.068	85.582	48.999	140.341	-36.804	-139.045	-32.941	-32.941
732	"Western Sahara"	5.6	8.3	12.5	17.15	-11.18	60.8	10.2	10.7	10.4	26.65	90	47.5	23.762
72	"Botswana"	-5	-20	-15	-6.02	2.326	14.845	0.601	5.803	17.864	24.546	21.278	18.73	20
426	"Lesotho"	-20	-26	-25	-22.4	-24.048	-6.538	-25.76	-62.682	-46.345	-74.427	-34.493	-24.418	-19.998
516	"Namibia"	0	0	0	-0.87	-2.825	-44.585	-29.139	74.791	23.492	35.497	-50	-50	-1.371
710	"South Africa"	-6.818	13.48	115.21	200.939	231.569	73.316	175.112	-133.363	804.595	158.911	1072.076	1402.64	600
748	"Swaziland"	-2.755	-1.979	-9.908	-9.472	-7.872	-9.472	-14.496	17.149	-38.243	-12	-46.077	-6	-6
204	"Benin"	-23.001	-23.001	-24.295	-23.742	-24.845	-19.393	-10.848	-8.723	105	-29.287	98.831	50	-10
854	"Burkina Faso"	-102.159	-102.159	-144.723	-144.723	-170.263	-217.4	-217.4	-183.699	-150.001	-137.499	-125	-125	-125
132	"Cabo Verde"	-5.926	-22.773	-1.167	4.267	-34.907	-27.982	-20.313	-27.757	-6.376	-2.438	-9.859	-25.866	-11.052
384	"C~A'te d'Ivoire"	69.38	99.919	200	300	400	420	430	325	375	180	-370	-220	50
270	"Gambia"	16.913	36.375	-3.232	0.118	9.392	-3.38	19.475	48.392	-14.801	-26.418	-13.742	-13.742	-13.476
288	"Ghana"	72.001	142.002	0	-361.999	-164.002	-563.999	206.001	-30.003	-16.285	-112.636	165.518	189.259	-49.999
324	"Guinea"	-0.007	-9.929	-13.857	-18	-275	-353	-38	162.45	800	-246.148	-368.004	-55.577	-10
624	"Guinea-Bissau"	-10.001	-9.983	-20	-7.23	-15	-28	-30	-28	-30	-30	-30	-25	-10
430	"Liberia"	-0.013	7.983	7.996	11.013	10.996	11.949	0	-400	-300	450	-50	175.585	-20
466	"Mali"	-35.031	-49.07	-70.243	-98.235	-95.585	-174.998	-218.064	-480.652	-173.489	-141.95	-67.11	-100.823	-302.449
478	"Mauritania"	-1.3	-1.6	-1.82	-2.76	-5.95	-9.7	-16.1	-30.3	-14.7	9.9	30	-20	-20
562	"Niger"	5.001	-25.124	-11.545	-11.545	-13.763	-18.138	-92.946	-91.917	-2.679	24.056	-28.497	-28.497	-28.497
566	"Nigeria"	3.368	2.706	1.021	-43.347	-38.526	854.649	-671.64	-91.407	-95.769	-95.027	-170	-300	-300
686	"Senegal"	33.033	44.046	50.002	86.522	65.586	-134.783	-85.108	-60.291	-70.008	-209.864	-151.131	-166.051	-99.996
694	"Sierra Leone"	0	0	0	0	0	0	0	62.745	-450	-150	500	60	-21
768	"Togo"	-46.919	-57.336	-77.885	138.923	-49.999	-100	50.001	-20	-95.003	-30	-9.994	-9.994	-9.994
935	"ASIA"	75.042	1297.938	403.098	363.097	-1439.12	-1272.631	-173.928000000001	-2364.892	-8454.466	-6281.717	-7911.539	-11368.746	-6280.663
156	"China"	-165.685	-8.163	-1058.832	-12.737	-1113.125	-428.313	-258.072	-154.256	-823.657	-507	-2144.051	-2202.103	-1800
344	"China, Hong Kong SAR"	166.179	177.334	224.481	-177.802	66.508	401.993	82.471	160.164	155.84	550.81	-41.256	44.716	150
446	"China, Macao SAR"	-37.334	-31.955	19.802	36.083	-7.003	-6.011	32.747	37.411	18.844	20.203	29.866	56.322	35
408	"Dem. People's Republic of Korea"	-568.413	0	0	0	0	0	0	0	0	0	0	0	0
392	"Japan"	54.786	-468.485	209.163	878.29	457.099	45.014	212.063	-628.168	451.392	16.977	622.058	445.267	350
496	"Mongolia"	0	0	0	0	0	0	0	0	-88.432	-52.463	-15.001	-15.001	-15.001
410	"Republic of Korea"	1.352	439.714	-281.388	-389.118	-449.729	-165.179	317.043	434.981	-633.048	-293.082	229.017	404.715	300
158	"Other non-specified areas"	19.537	-0.755	266.926	469.982	-25.323	167.101	-61.359	-199.733	-176.611	-178.713	110.4	47.652	0
398	"Kazakhstan"	565.765	979.937	691.681	173.343	-55.461	-313.63	-398.259	-656.091	-1511.745	-1324.984	44.53	-35.196	159.807
417	"Kyrgyzstan"	7.016	56.871	116.848	110.071	34.14	17.954	-39.988	-120.2	-271.59	-32.705	-172.911	-76.604	-113.963
762	"Tajikistan"	-16.696	-24.371	77.739	34.64	28.954	-5.749	-21.87	-37.962	-289.263	-324.793	-96.542	-65.435	-117.382
795	"Turkmenistan"	-28.779	37.498	36.261	36.429	31.549	16.341	-25.116	-34.319	43.633	-60.324	-114.454	-57.048	-25.001
860	"Uzbekistan"	-38.021	15.411	308.297	444.08	444.273	78.675	-114.387	-388.436	-400.002	-290	-449.997	-290	-195.001
4	"Afghanistan"	-20	-20	-20	-20	-20	-1117.459	-3418.299	-1484.185	2227.474	-379.474	804.12	-677.497	473.007
50	"Bangladesh"	-55.096	1.484	-142.378	-161.822	-3028.254	-1101.492	-837.319	-219.363	-853.717	-756.121	-1700.003	-3570.954	-2226.481
64	"Bhutan"	10	5	5	10	20	15	0.797	1.595	-85.887	0.143	34.976	16.829	10
356	"India"	-105.71	-4.027	-85.382	-245.182	2118.323	1132.181	483.097	45.147	-677.938	-716.9	-2206.411	-2829.378	-2598.218
364	"Iran (Islamic Republic of)"	-1.088	-1.947	-7.838	51.755	77.633	419.996	1969.42	1344.377	-2276.004	615.293	-70.307	-549.266	-300.001
462	"Maldives"	-0.022	-0.116	-0.581	-2.904	2.415	0	0	-2.605	-3.072	-1.1	-0.105	-0.053	-0.053
524	"Nepal"	-40.559	-80.231	-70	-21.075	-5.799	-41.002	-101.147	-216.407	76.064	-464.703	-922.843	-1023.896	-372.369
586	"Pakistan"	-8.255	-16.702	-93.268	-209.978	-138.106	700	1345.233	139.79	-1128.724	-728.632	-896.486	-1296.372	-1081.918
144	"Sri Lanka"	-16.5	-75	-47.5	-38.5	-145	-237.5	-395.5	-137.44	-255.78	-461.684	-449.48	-520.065	-484.772
96	"Brunei Darussalam"	5.059	6.312	5.209	10.747	8.005	5.624	1.827	0.243	1.346	1.852	2.294	2.441	2.102
116	"Cambodia"	0	0	0	-225.001	-125	-84.999	-88.854	-78.022	409.414	348.495	-35.156	-295.987	-149.999
360	"Indonesia"	-66.553	-108.516	-107.486	-40.261	-90.36	-202.747	-49.566	-166.738	-381.823	-344.962	-851.31	-1116.994	-700
418	"Lao People's Democratic Republic"	-0.01	0.046	0.076	0.03	0.046	-198.756	-35.11	0.138	-45.184	-131.254	-175.1	-117.7	-117.7
458	"Malaysia"	-21.65	5.087	80.684	-18.722	-31.056	-6.95	158.02	435.408	298.812	397.501	490.83	652.234	450
104	"Myanmar"	0	0	0	0	0	0	-54.656	-200	-699.993	-537.998	-1372.688	-1466.799	-474.278
608	"Philippines"	0.497	0.958	0.364	-271.845	-237.734	-313.636	-176.673	-298.756	-504.878	-765.62	-1097.371	-1829.034	-700
702	"Singapore"	65.545	67.991	0.428	-0.363	5.889	14.266	137.811	119.801	248.927	255.243	435.595	449.245	397.936
764	"Thailand"	0	0	0	0	402.578	287.226	341.913	513.675	-807.534	695.804	1102.862	-858.537	100
626	"Timor-Leste"	0.474	1.682	0.67	0.864	2.242	-93.784	10.3	-4.85	-4.186	-156.056	0.012	-104.946	-50.004
704	"Viet Nam"	0	0	0	0	0	-813.123	-324.942	-332.327	-394.236	-216.001	-772.336	-877.681	-200.002
51	"Armenia"	49.863	79.249	70.335	103.399	86.404	35.724	-22.331	-58.313	-496.288	-223.873	-143.966	-136.009	-9.876
31	"Azerbaijan"	9.934	58.339	66.429	50.466	14.62	-28.122	-40.822	-118.757	-105.573	-119.785	10.655	-96.798	-16.125
48	"Bahrain"	3.163	7.905	-4.341	-7.199	19.123	48.962	3.195	12.899	5.48	43.086	133.5	316.544	29.915
196	"Cyprus"	-13.8	-6.648	-43.025	-7.843	3.053	-1.215	-27.634	17.167	43.195	53.26	61.83	44.166	35
268	"Georgia"	104.118	75.704	51.113	24.146	-32.156	-78.92	-18.616	-61.577	-544.069	-390.036	-309.021	-289.534	-296.323
368	"Iraq"	-0.55	-1.1	-1.862	-6.877	-8.587	-47.791	-199.939	-630.184	-154.026	-17.859	-266.32	-457.332	548.666
376	"Israel"	262.167	167.565	208.759	72.44	165.879	62.546	2.604	65.418	456.923	245.334	102.935	273.635	19.497
400	"Jordan"	123.094	119.245	35.715	254.352	-29.706	-80.758	81.657	118.198	401.472	-188.262	-93.897	449.998	229.617
414	"Kuwait"	16.395	32.787	153.599	137.534	109.162	112.656	95.952	110.759	-580.898	98.5	139	522	517.5
422	"Lebanon"	1.615	40	20	-70.002	-10	-270	-214.381	-228.04	90	-29.428	550.11	183.37	1250
512	"Oman"	-10	-10	-10	-5	25.47	76.409	81.5	11.169	93.7	-207.887	40.452	185.5	1211
634	"Qatar"	5.648	4.492	16.337	20.912	34.368	28.315	102.097	57.517	-22.453	42.84	185.343	854.839	363.5
682	"Saudi Arabia"	26.289	25.969	125.989	187.007	491.874	995.676	1391.626	590.9	-25	60.187	945	815	850
