"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	"AFRICA"	-1.449	-1.495	-1.427	-1.405	-1.383	-1.361	-1.34	-1.32	-1.303	-1.289	-1.276	-1.264	-1.256	-1.25	-1.251	-1.259	-1.27
108	"Burundi"	-10.11	-12.1	-12.318	-12.346	-12.36	-12.348	-12.328	-12.308	-12.281	-12.256	-12.262	-12.313	-12.389	-12.443	-12.453	-12.412	-12.342
174	"Comoros"	-8.786	-9.456	-9.142	-9.019	-8.899	-8.785	-8.682	-8.604	-8.574	-8.589	-8.612	-8.622	-8.631	-8.642	-8.655	-8.676	-8.702
262	"Djibouti"	-35.349	-33.471	-30.412	-30.346	-30.251	-30.112	-29.892	-29.686	-29.609	-29.606	-29.541	-29.339	-29.058	-28.756	-28.405	-27.98	-27.508
232	"Eritrea"	-15.832	-15.698	-14.795	-14.515	-14.226	-13.967	-13.791	-13.684	-13.614	-13.568	-13.527	-13.455	-13.348	-13.2	-13.016	-12.793	-12.557
231	"Ethiopia"	-6.064	-6.833	-7.327	-7.23	-7.123	-7.023	-6.951	-6.918	-6.918	-6.937	-6.959	-6.97	-6.959	-6.926	-6.885	-6.841	-6.786
404	"Kenya"	-1.743	-2.035	-2.165	-2.187	-2.21	-2.23	-2.253	-2.275	-2.296	-2.314	-2.323	-2.331	-2.343	-2.361	-2.388	-2.425	-2.469
450	"Madagascar"	-1.156	-1.482	-1.756	-1.831	-1.905	-1.975	-2.043	-2.108	-2.171	-2.232	-2.288	-2.337	-2.378	-2.413	-2.44	-2.463	-2.489
454	"Malawi"	-15.443	-14.416	-15.661	-15.573	-15.494	-15.374	-15.186	-14.931	-14.689	-14.504	-14.415	-14.394	-14.368	-14.282	-14.136	-13.947	-13.719
480	"Mauritius"	-5.156	-6.246	-6.896	-6.892	-6.883	-6.871	-6.863	-6.858	-6.85	-6.845	-6.84	-6.842	-6.853	-6.865	-6.868	-6.861	-6.844
175	"Mayotte"	-12.61	-15.519	-15.363	-15.373	-15.366	-15.349	-15.323	-15.238	-15.064	-14.818	-14.544	-14.291	-14.103	-14.008	-14.016	-14.071	-14.102
