"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
903	"AFRICA"	0.504	0.635	0.656	0.677	0.696	0.713	0.724	0.733	0.74	0.745	0.744	0.737	0.729	0.722	0.719	0.725	0.735
108	"Burundi"	8.728	8.44	9.63	9.452	9.258	9.063	8.89	8.744	8.639	8.579	8.529	8.444	8.29	8.081	7.855	7.628	7.402
174	"Comoros"	3.411	3.734	3.83	3.953	4.087	4.234	4.378	4.489	4.532	4.497	4.394	4.27	4.158	4.056	3.942	3.82	3.687
262	"Djibouti"	35.332	39.211	34.889	35.149	35.328	35.372	35.247	34.982	34.698	34.44	34.221	34.018	33.755	33.428	33.102	32.773	32.387
232	"Eritrea"	8.656	9.358	10.336	10.456	10.568	10.659	10.707	10.705	10.648	10.526	10.34	10.124	9.886	9.63	9.39	9.172	8.939
231	"Ethiopia"	5.949	6.646	6.487	6.524	6.562	6.587	6.584	6.556	6.5	6.415	6.311	6.192	6.066	5.944	5.854	5.803	5.776
404	"Kenya"	1.508	1.696	1.813	1.839	1.86	1.873	1.879	1.878	1.867	1.849	1.826	1.8	1.77	1.744	1.724	1.712	1.705
450	"Madagascar"	1.156	1.525	1.72	1.766	1.806	1.833	1.848	1.854	1.857	1.859	1.86	1.859	1.853	1.846	1.841	1.84	1.842
454	"Malawi"	14.393	14.723	13.713	13.772	13.833	13.857	13.784	13.633	13.457	13.317	13.244	13.22	13.207	13.205	13.213	13.262	13.341
480	"Mauritius"	2.743	2.845	2.827	2.835	2.837	2.82	2.782	2.738	2.689	2.63	2.564	2.516	2.501	2.51	2.539	2.581	2.628
175	"Mayotte"	10.543	12.857	14.305	14.39	14.478	14.56	14.652	14.752	14.836	14.885	14.87	14.783	14.644	14.454	14.2	13.912	13.62
508	"Mozambique"	9.639	10.725	10.1	9.923	9.735	9.565	9.419	9.294	9.194	9.098	8.985	8.867	8.756	8.671	8.613	8.573	8.535
638	"R~A(c)union"	4.951	5.443	5.709	5.703	5.698	5.702	5.71	5.723	5.733	5.731	5.702	5.655	5.62	5.6	5.586	5.581	5.582
646	"Rwanda"	24.625	23.283	23.625	23.812	23.89	23.799	23.529	23.108	22.602	22.113	21.737	21.532	21.491	21.525	21.637	21.807	21.992
690	"Seychelles"	5.264	6.823	7.072	7.222	7.324	7.356	7.331	7.269	7.177	7.086	7.063	7.135	7.288	7.502	7.767	8.062	8.367
706	"Somalia"	36.65	37.794	39.587	38.497	37.486	36.651	36.049	35.643	35.317	34.922	34.474	34.031	33.704	33.514	33.4	33.359	33.384
728	"South Sudan"	26.823	25.016	22.981	22.678	22.385	22.102	21.879	21.781	21.775	21.731	21.586	21.358	21.107	20.936	20.947	21.137	21.429
800	"Uganda"	3.082	3.681	3.898	3.892	3.884	3.871	3.857	3.841	3.814	3.779	3.739	3.697	3.661	3.633	3.605	3.574	3.545
834	"United Republic of Tanzania"	2.938	3.153	3.427	3.426	3.417	3.405	3.39	3.369	3.34	3.301	3.249	3.192	3.142	3.109	3.098	3.103	3.113
894	"Zambia"	2.009	2.238	2.357	2.366	2.383	2.41	2.44	2.464	2.478	2.487	2.495	2.501	2.499	2.486	2.467	2.446	2.428
716	"Zimbabwe"	1.638	2.345	2.89	3.041	3.174	3.264	3.314	3.331	3.321	3.305	3.292	3.274	3.249	3.225	3.214	3.217	3.224
24	"Angola"	4.974	5.196	3.67	3.678	3.726	3.837	3.995	4.159	4.309	4.434	4.512	4.53	4.493	4.414	4.312	4.217	4.138
120	"Cameroon"	0.513	0.959	1.17	1.25	1.328	1.404	1.471	1.525	1.569	1.604	1.626	1.627	1.601	1.551	1.485	1.407	1.324
140	"Central African Republic"	3.623	3.81	3.795	3.768	3.748	3.732	3.713	3.687	3.652	3.606	3.556	3.503	3.447	3.389	3.337	3.292	3.251
148	"Chad"	5.839	6.066	5.944	5.987	6.018	6.033	6.026	5.996	5.943	5.881	5.822	5.768	5.734	5.719	5.706	5.682	5.649
178	"Congo"	2.202	2.845	3.145	3.145	3.146	3.142	3.133	3.124	3.115	3.094	3.06	3.024	2.996	2.974	2.949	2.925	2.903
180	"Democratic Republic of the Congo"	4.589	5.044	5.457	5.368	5.28	5.201	5.143	5.101	5.079	5.067	5.051	5.014	4.953	4.87	4.763	4.634	4.494
226	"Equatorial Guinea"	35.142	34.425	32.813	32.194	31.639	31.182	30.866	30.677	30.604	30.603	30.633	30.655	30.738	30.908	31.243	31.707	32.256
266	"Gabon"	3.687	4.369	4.439	4.463	4.491	4.515	4.523	4.511	4.48	4.438	4.399	4.368	4.34	4.304	4.257	4.203	4.146
