"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"World"	900	"0-4"	327161.267	325934.248	325368.871	327693.949	332611.037	336948.407	338395.142	337676.082	337889.985	337043.883	338412.758	338813.207	340348.668	339475.08	338574.858	335466.254	333530.703
"World"	900	"5-9"	320527.953	323864.95	322976.794	322840.309	325007.557	330352.681	334855.936	336507.742	335546.386	336041.621	335366.784	336931.755	337317.634	338893.674	337906.897	337140.39	334376.044
"World"	900	"10-14"	306285.968	319082.586	322510.772	321711.704	321639.116	323824.173	329298.254	333917.9	335693.527	334598.804	335218.496	334565.46	336010.01	336613.571	338186.214	337086.725	336408.103
"World"	900	"15-19"	292062.303	305050.548	317901.902	321399.23	320630.725	320584.111	322912.531	328334.125	333064.058	334787.199	333835.758	334495.677	333900.86	335290.625	335971.226	337548.18	336352.613
"World"	900	"20-24"	283633.202	290556.516	303594.545	316498.573	320087.988	319379.415	319422.379	321912.679	327242.016	332089.455	333820.214	332920.079	333525.733	333022.621	334435.744	335200.132	336710.821
"World"	900	"25-29"	290964.883	281825.734	288802.197	301879.561	314837.109	318418.192	317889.241	317906.505	320511.105	325845.424	330747.835	332467.858	331757.271	332499.018	331887.346	333505.109	334170.894
"World"	900	"30-34"	295844.271	288838.411	279805.458	286809.17	299912	312895.486	316543.858	316059.297	316193.02	318766.498	324060.808	329129.445	331046.266	330102.682	331143.659	330660.135	332228.37
"World"	900	"35-39"	268864.151	293357.301	286494.146	277568.077	284594.075	297683.252	310689.623	314377.053	313873.954	314141.882	316741.712	322215.271	327353.262	329360.422	328189.064	329346.092	329174.345
"World"	900	"40-44"	243114.247	266107.684	290593.871	283884.411	275071.593	282121.839	295181.026	308219.581	311945.859	311568.509	311809.43	314547.311	320026.646	325238.751	327517.203	326106.581	327435.113
"World"	900	"45-49"	236322.112	240004.818	262904.941	287376.106	280830.848	272175.779	279259.973	292317.769	305334.924	309150.885	308835.264	309193.137	312209.269	317441.698	322649.734	325106.223	323628.649
"World"	900	"50-54"	221415.365	232310.843	236063.593	258849.11	283276.456	276942.902	268495.672	275625.577	288666.691	301681.774	305495.429	305579.962	305940.464	308943.28	314107.371	319556.154	322208.509
"World"	900	"55-59"	195509.08	215867.06	226783.596	230615.912	253208.533	277509.427	271500.44	263359.215	270508.123	283543.062	296583.359	300659.632	300874.879	301360.082	304601.529	309803.112	315522.559
"World"	900	"60-64"	164470.343	187717.255	207826.562	218728.774	222719.537	244929.689	268962.711	263402.672	255711.773	263028.537	276051.695	289084.247	293284.581	293845.947	294737.258	298303.071	303732.666
"World"	900	"65-69"	139746.793	153830.381	176285.078	195848.589	206710.814	210820.872	232438.074	255928.758	251069.389	244039.136	251589.583	264558.307	277559.495	282150.308	283188.745	284481.049	288644.483
"World"	900	"70-74"	100317.807	125217.503	138632.174	159686.571	178194.02	188849.753	193141.93	213781.967	236338.019	232460.68	226481.476	234285.666	247091.494	260033.042	264910.687	266719.987	268768.652
"World"	900	"75-79"	68165.185	84264.545	105708.59	118016.824	136933.734	153785.319	163835.031	168539.032	187586.607	208264.628	206063.771	201544.304	209404.557	221904.923	234698.97	240132.276	243006.445
"World"	900	"80-84"	47533.701	51511.634	64665.078	81580.515	92288.08	108252.859	122591.09	131960.941	136877.542	153418.03	171722.972	171371.339	168984.114	176917.015	188666.357	200620.626	206770.721
"World"	900	"85-89"	26379.293	30379.627	33845.605	43372.232	55107.914	63578.993	75710.916	86940.336	95166.811	100139.987	113734.418	128523.642	130347.138	130265.515	137847.431	148153.794	159225.424
"World"	900	"90-94"	11374.826	13250.226	15634.114	18085.036	23821.842	30670.614	36338.399	44410.919	52093.445	58504.832	62958.456	72873.683	83485.883	86959.144	88931.918	95647.306	104280.644
"World"	900	"95-99"	3088.769	3966.182	4826.803	5904.765	7150.95	9771.22	12860.553	15901.463	20242.946	24535.787	28501.165	31874.314	37946.765	44433.508	48013.154	50762.467	55970.966
"World"	900	"100+"	444.091	670.268	910.565	1179.965	1516.46	1949.215	2788.138	3811.357	5038.64	6799	8683.968	10623.601	12584.6	15529.073	18681.768	21033.738	23288.291
"Africa"	903	"0-4"	97538.606	103653.153	110087.856	117063.194	124086.569	129871.827	134586.315	139227.789	143645.057	147487.809	151318.178	154361.737	156627.7	158445.93	161415.916	162097.077	163400.95
"Africa"	903	"5-9"	88798.97	95299.154	101497.985	107975.305	115075.112	122375.606	128059.467	132813.722	137725.309	142006.721	145980.539	149463.372	152938.763	155294.974	157516.591	160487.075	160645.465
"Africa"	903	"10-14"	78247.304	87739.8	94283.591	100491.29	106983.685	114126.482	121459.853	127215.435	131928.549	137021.283	141085.545	145255.075	148841.365	152268.414	154543.43	157036.444	160191.765
"Africa"	903	"15-19"	68238.74	77366.849	86802.642	93376.324	99590.166	105950.228	113107.99	120450.742	126350.007	131114.703	136059.065	140377.072	144408.181	147990.782	151327.498	153823.875	155867.671
"Africa"	903	"20-24"	59158.601	67109.615	76221.593	85590.896	92182.532	98461.524	104808.923	111919.067	119114.421	125182.285	130200.072	134946.919	139302.155	143426.194	146855.128	150184.86	152592.908
"Africa"	903	"25-29"	52219.44	57981.417	65885.092	74933.276	84249.588	90837.803	97051.703	103589.367	110599.96	117767.351	123816.779	128800.896	133330.362	137684.268	142048.135	145436.36	148879.206
"Africa"	903	"30-34"	46251.759	50970.744	56688.276	64526.796	73555.71	82786.386	89335.397	95567.199	102101.666	109221.264	116376.448	122377.137	127139.834	131773.833	136319.127	140204.44	144081.791
"Africa"	903	"35-39"	39673.197	45021.03	49722.147	55407.826	63155.927	72084.375	81304.89	87834.346	94097.969	100504.519	107768.482	114793.317	120692.805	125550.41	130187.52	134724.121	138904.475
"Africa"	903	"40-44"	32320.14	38502.773	43819.164	48478.698	54131.624	61799.02	70663.657	79843.178	86318.413	92517.599	98973.743	106192.93	113158.274	119119.307	123972.112	128761.953	133221.035
"Africa"	903	"45-49"	25942.636	31317.921	37402.336	42652.381	47276.226	52886.17	60508.028	69226.382	78353.476	84803.498	90907.018	97381.204	104642.397	111381.106	117359.845	122367.629	127278.515
"Africa"	903	"50-54"	21214.429	24993.607	30276.539	36238.545	41425.351	46016.776	51560.498	59076.428	67671.451	76679.401	83124.526	89105.398	95648.218	102770.981	109536.218	115568.97	120573.336
"Africa"	903	"55-59"	17564.028	20223.127	23913.42	29059.598	34883.93	39991.301	44526.141	49955.919	57309.502	65764.94	74654.914	81020.687	87030.739	93537.576	100490.11	107084.355	113112.696
"Africa"	903	"60-64"	14210.132	16407.46	18984.622	22544.023	27503.897	33129.054	38104.678	42533.236	47852.661	54972.289	63218.748	71977.372	78189.17	84129.812	90504.353	97366.232	103994.167
"Africa"	903	"65-69"	10790.491	12777.91	14853.758	17302.211	20664.137	25350.905	30706.215	35464.473	39735.473	44863.655	51700.134	59631.575	68056.962	74145.036	79889.543	86373.496	92980.383
"Africa"	903	"70-74"	7579.941	9081.224	10871.655	12784.122	15032.401	18098.769	22384.196	27331.533	31752.346	35814.759	40609.631	46952.709	54415.61	62305.629	68224.577	73973.122	80044.496
"Africa"	903	"75-79"	4707.798	5707.481	6979.672	8503.525	10158.513	12123.19	14797.345	18517.945	22880.177	26859.625	30555.266	34898.375	40594.085	47367.787	54544.675	60054.95	65420.257
"Africa"	903	"80-84"	2523.429	2984.833	3728.27	4705.618	5891.003	7210.681	8791.159	10959.833	13953.891	17566.667	20925.299	24187.747	27959.127	32794.25	38600.129	44870.384	49726.771
"Africa"	903	"85-89"	1045.615	1250.818	1538.425	2009.038	2654.494	3464.137	4413.689	5578.895	7193.372	9412.288	12170.506	14799.311	17518.96	20594.221	24554.141	29105.211	34229.589
"Africa"	903	"90-94"	298.955	373.124	471.059	615.431	858.515	1219.316	1708.03	2310.601	3082.073	4158.416	5678.88	7623.238	9555.793	11630.016	14050.929	17088.029	20557.582
"Africa"	903	"95-99"	46.113	69.325	92.104	125.605	180.177	280.713	440.14	675.994	1000.724	1437.416	2080.967	2993.373	4207.011	5484.447	6940.566	8685.148	10778.041
"Africa"	903	"100+"	4.308	6.265	10.167	14.7	22.246	36.714	65.872	117.006	203.185	338.746	537.877	836.807	1298.857	1922.534	2665.043	3505.604	4577.255
"Burundi"	108	"0-4"	1134.742	1188.604	1252.739	1366.836	1515.101	1640.55	1704.495	1732.651	1764.799	1858.759	1950.056	1973.44	1992.42	1946.555	1952.055	1965.086	1975.444
"Burundi"	108	"5-9"	986.758	1099.01	1153.708	1220.512	1334.225	1483.161	1610.072	1670.522	1701.9	1738.892	1829.578	1913.64	1954.982	1983.832	1932.442	1934.611	1953.32
"Burundi"	108	"10-14"	811.973	971.867	1083.678	1137.396	1204.087	1317.422	1461.849	1590.458	1650.514	1687.173	1712.196	1809.533	1882.906	1938.569	1964.19	1913.844	1902.952
"Burundi"	108	"15-19"	642.156	799.818	957.184	1067.034	1119.197	1189.81	1291.632	1436.091	1557.884	1630.739	1655.455	1680.995	1770.979	1869.765	1914.339	1919.696	1871.028
"Burundi"	108	"20-24"	550.118	627.969	781.604	936.118	1041.862	1094.979	1152.101	1261.803	1397.074	1499.564	1578.418	1605.524	1652.098	1749.339	1825.276	1843.787	1873.949
"Burundi"	108	"25-29"	520.274	534.676	606.057	759.655	909.02	1007.601	1061.87	1119.017	1217.362	1355.501	1449.868	1532.024	1558.861	1604.696	1709.058	1784.931	1816.27
"Burundi"	108	"30-34"	473.11	503.465	512.224	586.214	732.569	876.135	979.19	1036.051	1083.535	1184.038	1302.374	1413.439	1483.207	1502.219	1558.214	1624.325	1710.125
"Burundi"	108	"35-39"	369.877	456.17	483.601	493.526	566.397	707.211	849.14	948.891	1002.735	1047.404	1146.055	1266.27	1375.212	1448.813	1465.742	1509.026	1583.933
"Burundi"	108	"40-44"	260.941	355.259	438.847	464.737	476.108	547.072	683.551	825.011	919.429	970.939	1026.083	1115.78	1234.316	1323.209	1403.252	1436.397	1476.877
"Burundi"	108	"45-49"	191.979	250.631	341.313	421.866	448.478	461.398	529.403	664.151	800.883	897.596	951.479	1009.075	1091.484	1205.094	1304.595	1380.703	1412.046
"Burundi"	108	"50-54"	169.163	183.197	239.503	327.316	406.456	433.205	446.93	514.552	642.838	779.65	873.455	929.661	982.061	1069.754	1183.572	1278.135	1358.052
"Burundi"	108	"55-59"	142.215	160.145	173.903	227.909	313.343	389.502	416.068	428.765	496.521	621.316	757.736	851.611	902.883	956.767	1036.223	1150.204	1255.892
"Burundi"	108	"60-64"	121.159	131.55	148.586	161.873	213.173	294.168	367.934	394.131	407.207	471.161	591.789	730.052	821.217	861.219	918.259	991.173	1114.009
"Burundi"	108	"65-69"	85.567	107.94	117.754	133.86	146.646	194.232	268.697	337.162	363.433	375.339	437.105	556.794	685.851	770.352	818.01	872.272	948.15
"Burundi"	108	"70-74"	47.685	70.41	89.397	98.621	112.871	124.99	167.777	234.741	297.162	322.623	335.266	391.298	499.119	616.37	703.702	758.85	802.128
"Burundi"	108	"75-79"	29.646	34.354	51.211	66.032	73.756	86.098	97.734	133.528	188.761	242.632	265.377	281.762	331.499	426.652	527.336	606.026	657.997
"Burundi"	108	"80-84"	15.456	16.894	19.1	30.317	40.085	46.232	58	66.718	92.911	133.296	172.594	193.012	208.83	250.338	325.189	410.229	476.262
"Burundi"	108	"85-89"	6.606	7.25	8.062	9.418	15.392	20.968	25.117	31.667	37.37	53.153	78.545	104.407	118.081	127.824	156.474	210.534	268.864
"Burundi"	108	"90-94"	1.807	2.11	2.393	2.72	3.294	5.581	8.072	9.827	12.751	15.649	22.872	34.418	47.148	55.362	61.974	77.312	106.205
"Burundi"	108	"95-99"	0.302	0.349	0.425	0.502	0.591	0.755	1.35	1.988	2.507	3.393	4.336	6.473	10.23	14.294	17.475	20.253	26.217
"Burundi"	108	"100+"	0.021	0.031	0.038	0.048	0.059	0.071	0.095	0.179	0.27	0.354	0.506	0.673	1.06	1.708	2.506	3.157	3.804
"Comoros"	174	"0-4"	61.476	63.552	65.8	68.584	71.437	74.021	75.094	75.618	76.005	76.396	76.765	75.545	74.85	73.465	72.628	70.124	67.706
"Comoros"	174	"5-9"	56.88	60.081	61.915	64.436	66.926	70.155	72.472	73.342	73.931	74.61	75.701	75.471	74.484	73.69	72.561	71.09	68.741
"Comoros"	174	"10-14"	50.78	55.865	59.133	61.114	63.414	66.117	69.141	71.558	72.38	73.167	73.458	74.785	74.216	73.424	73.345	71.722	69.375
"Comoros"	174	"15-19"	44.767	49.873	55.053	57.924	60.357	62.444	65.204	67.962	70.385	71.477	71.836	72.3	73.445	73.604	72.419	71.964	70.141
"Comoros"	174	"20-24"	39.647	43.824	49.039	54.008	57.023	59.384	61.627	64.337	66.977	69.176	70.273	71.062	71.428	72.176	72.272	71.844	70.614
"Comoros"	174	"25-29"	35.35	38.699	42.977	47.957	52.974	55.795	58.087	60.335	63.262	65.848	68.311	69.159	70.132	70.117	71.129	71.247	70.574
"Comoros"	174	"30-34"	31.895	34.45	37.899	42.051	47.018	51.978	54.833	56.838	59.507	62.029	64.983	67.174	68.403	69	68.961	69.775	70.654
"Comoros"	174	"35-39"	27.252	31.028	33.666	36.984	41.142	45.999	50.85	53.631	55.783	58.24	60.697	64.018	65.88	67.447	67.754	68.006	68.503
"Comoros"	174	"40-44"	21.829	26.433	30.244	32.776	36.112	40.132	44.953	49.778	52.523	54.706	56.773	59.54	62.461	64.417	65.816	66.436	66.58
"Comoros"	174	"45-49"	17.353	21.047	25.651	29.285	31.8	35.044	39.048	43.791	48.362	51.214	53.408	55.175	57.975	61.265	62.726	64.344	65.069
"Comoros"	174	"50-54"	14.238	16.579	20.242	24.632	28.192	30.693	33.861	37.751	42.33	46.886	49.688	51.824	53.556	56.584	59.52	60.873	62.52
"Comoros"	174	"55-59"	11.631	13.398	15.701	19.146	23.427	26.873	29.238	32.37	36.122	40.531	45.078	47.664	49.844	51.934	54.47	57.332	59.143
"Comoros"	174	"60-64"	9.123	10.682	12.385	14.536	17.815	21.856	25.055	27.436	30.343	33.938	38.249	42.704	45.102	47.265	49.27	52.128	54.725
"Comoros"	174	"65-69"	6.45	8.038	9.475	11.018	13.002	15.988	19.722	22.737	24.877	27.567	31.1	35.16	39.189	41.771	44.173	45.977	48.201
"Comoros"	174	"70-74"	3.777	5.29	6.659	7.901	9.227	10.944	13.579	16.796	19.446	21.412	23.92	27.018	30.845	34.703	37.105	39.137	41.017
"Comoros"	174	"75-79"	2.52	2.743	3.903	4.942	5.906	6.993	8.37	10.427	13.016	15.222	16.889	18.989	21.667	24.888	28.086	30.315	32.19
"Comoros"	174	"80-84"	1.322	1.516	1.673	2.402	3.079	3.731	4.469	5.407	6.826	8.564	10.113	11.359	12.96	14.899	17.23	19.837	21.618
"Comoros"	174	"85-89"	0.5	0.594	0.693	0.775	1.133	1.472	1.817	2.211	2.707	3.44	4.403	5.256	5.976	6.961	8.22	9.685	11.27
"Comoros"	174	"90-94"	0.12	0.149	0.181	0.214	0.245	0.365	0.486	0.607	0.749	0.93	1.207	1.587	1.931	2.261	2.677	3.19	3.812
"Comoros"	174	"95-99"	0.017	0.021	0.027	0.033	0.04	0.047	0.072	0.097	0.124	0.155	0.196	0.26	0.348	0.437	0.525	0.631	0.767
"Comoros"	174	"100+"	0.001	0.002	0.002	0.003	0.003	0.004	0.005	0.008	0.01	0.014	0.017	0.022	0.03	0.041	0.052	0.063	0.078
"Djibouti"	262	"0-4"	50.324	48.79	47.9	47.334	46.509	45.877	44.889	42.938	40.339	39.701	38.749	38.558	37.704	35.282	33.871	31.941	30.802
"Djibouti"	262	"5-9"	48.89	49.237	48.325	47.624	46.704	46.062	45.419	44.917	42.733	40.504	39.477	39.166	38.104	36.781	35.087	33.556	31.704
"Djibouti"	262	"10-14"	46.681	48.373	49.014	48.254	47.522	47.022	45.831	45.223	44.859	43.028	40.923	39.192	38.711	38.051	36.646	34.889	33.375
"Djibouti"	262	"15-19"	44.213	46.413	48.343	48.54	48.017	47.957	46.677	45.838	45.014	44.541	43.515	40.121	39.312	39.341	36.987	37.045	34.899
"Djibouti"	262	"20-24"	41.351	43.357	46.139	48.836	49.129	47.307	46.374	44.511	44.229	45.077	46.149	42.555	38.902	37.789	36.953	36.535	34.162
"Djibouti"	262	"25-29"	42.096	40.611	43.943	47.109	48.1	48.175	45.605	46.024	45.123	44.526	46.225	44.379	40.394	36.169	36.545	36.889	34.293
"Djibouti"	262	"30-34"	40.731	41.45	41.327	43.57	45.718	47.717	46.819	45.427	45.128	44.92	44.246	45.245	43.38	38.818	35.649	36.605	36.715
"Djibouti"	262	"35-39"	30.986	39.792	41.444	40.078	43.44	45.111	47.244	45.148	44.593	43.858	45.476	43.549	45.471	42.612	39.708	36.944	36.166
"Djibouti"	262	"40-44"	29.026	30.112	39.498	40.662	39.73	42.519	44.753	45.952	45.036	44.589	44.003	43.736	41.982	43.885	42.386	40.5	37.251
"Djibouti"	262	"45-49"	23.018	28.082	29.7	38.326	39.091	39.443	41.577	43.148	44.694	44.305	44.312	43.551	43.035	41.991	43.179	42.152	39.264
"Djibouti"	262	"50-54"	19.296	22.162	27.405	28.746	37.028	38.002	38.282	40.162	41.941	43.768	44.307	43.568	42.392	42.279	41.646	42.159	41.529
"Djibouti"	262	"55-59"	16.094	18.392	21.37	26.253	27.402	35.465	36.913	37.131	38.891	40.524	42.551	43.198	41.894	41.151	40.382	40.306	41.166
"Djibouti"	262	"60-64"	12.192	15.056	17.391	20.106	24.758	25.882	33.742	35.073	35.542	37.042	38.859	40.843	41.252	40.417	39.311	38.914	39.143
