"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"World"	900	"0-4"	348732.471	346151.075	344397.702	346084.283	350413.139	354097.65	355666.742	353727.448	353827.57	353564.577	355227.566	355764.751	356353.225	355928.534	354264.252	350698.28	349619.685
"World"	900	"5-9"	342649.633	344960.434	342558.677	341263.954	342966.633	347612.708	351593.652	353171.456	351238.918	351611.294	351419.355	353263.559	353763.843	354458.113	353772.868	352416.938	349484.802
"World"	900	"10-14"	327847.973	341039.139	343439.639	341068.358	340032.989	341685.912	346419.529	350492.316	352006.716	350213.168	350621.057	350565.553	352268.444	352810.461	353562.739	353011.72	351494.32
"World"	900	"15-19"	312459.863	326357.008	339605.436	342074.734	339783.383	338890.98	340514.362	345268.261	349473.633	350878.328	349270.43	349716.717	349833.407	351408.897	351925.684	352718.044	352167.458
"World"	900	"20-24"	302638.261	310385.944	324344.668	337652.273	340248.941	338109.668	337234.667	338920.472	343673.356	348050.713	349494.675	347922.071	348406.553	348515.372	350168.498	350724.307	351311.834
"World"	900	"25-29"	307753.63	299991.989	307817.363	321828.575	335211.73	337903.334	336042.438	334965.795	336952.439	341743.861	346197.127	347749.182	346181.463	346521.961	347004.017	348508.939	349221.891
"World"	900	"30-34"	308307.989	304629.354	297036.801	304932.954	318994.381	332453.025	335230.573	333569.981	332572.725	334606.005	339673.092	344021.707	345725.824	344011.503	344706.057	345331.794	346554.921
"World"	900	"35-39"	275957.301	304601.275	301143.147	293706.501	301684.884	315794.853	329294.509	332134.249	330546.878	329792.715	331909.121	336998.744	341340.213	343198.958	341510.302	342756.577	343145.657
"World"	900	"40-44"	247744.308	271685.069	300292.654	297056.789	289814.819	297883.515	311999.06	325544.576	328502.095	327130.839	326376.41	328777.999	333899.839	338277.329	339989.912	338725.467	340110.894
"World"	900	"45-49"	240371.521	242696.27	266458.465	294989.714	292015.661	285023.111	293205.732	307279.537	320945.201	323884.152	322833.425	322105.926	324733.425	329847.773	334338.248	336650.209	335079.116
"World"	900	"50-54"	221909.668	233751.258	236161.987	259663.168	288075.85	285438.695	278783.106	287046.195	301143.966	314839.627	318006.239	316935.904	316618.455	319810.667	324615.187	329446.779	332150.411
"World"	900	"55-59"	192012.85	213004.191	224765.688	227316.672	250454.824	278623.231	276391.583	270235.735	278625.915	292712.537	306450.712	310065.962	309451.011	309367.446	312879.323	317617.387	322758.626
"World"	900	"60-64"	156678.72	180103.508	200722.466	212391.077	215179.6	237764.972	265429.186	263864.667	258339.857	266857.407	281017.278	294814.157	298530.429	298906.704	299105.13	303025.52	308734.771
"World"	900	"65-69"	128342.937	141657.461	163874.898	183792.885	195266.264	198458.195	220117.082	247009.616	246337.678	241711.928	250555.953	264687.575	278404.598	282507.693	283336.762	284642.394	288955.294
"World"	900	"70-74"	87132.338	109564.974	121952.154	142295.004	160777.582	171921.633	175735.523	196231.233	221607.767	222080.785	218821.996	227782.567	241907.88	255637.866	260361.97	262553.546	264253.842
