"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	3641738.973	3831044.302	4006987.519	4169608.654	4318283.592	4454675.258	4572175.876	4676363.292	4764156.429	4838704.48	4896138.364	4942889.339	4982505.794	5013824.064	5038741.696	5050416.762	5056180.458	5061823.632
"AFRICA"	903	592721.705	664798.903	741241.116	821159.931	903061.822	989105.77	1076603.064	1163508.846	1250024.515	1333549.107	1414703.168	1488572.881	1560848.516	1626420.232	1689594.593	1744388.428	1795882.265	1842963.69
"Burundi"	108	5654.689	6325.757	6985.184	7603.168	8272.282	8957.021	9690.053	10253.987	10783.668	11223.693	11569.165	11843.589	11967.231	12177.93	12405.353	12568.621	12508.319	12338.253
"Comoros"	174	390.774	424.714	460.986	496.441	530.01	565.072	590.981	610.191	628.371	644.693	655.914	674.398	674.305	670.153	660.73	658.202	642.013	625.674
"Djibouti"	262	442.019	393.163	374.238	357.537	354.304	358.386	352.932	348.78	344.457	343.58	334.842	316.031	307.289	294.707	273.177	258.46	234.374	222.93
"Eritrea"	232	2608.948	2759.049	2943.528	3111.616	3316.083	3535.304	3688.256	3890.385	4055.322	4131.351	4186.14	4349.995	4406.668	4336.697	4273.143	4281.257	4062.573	3988.668
"Ethiopia"	231	49783.139	54847.275	60062.155	65419.168	70298.823	74793.087	79392.771	83193.484	86631.175	89246.16	91179.042	94083.225	95072.836	94725.79	95037.166	92989.94	91305.022	88774.896
"Kenya"	404	23033.365	25643.644	28205.532	30806.543	33367.235	35853.692	38060.667	40129.716	41675.319	43111.886	44098.514	44761.821	45070.735	44774.991	44188.568	43458.542	42508.349	41380.386
"Madagascar"	450	12152.929	13776.589	15520.968	17333.529	19164.082	21055.309	22980.575	24875.131	26623.579	28470.793	30225.179	31799.034	33252.286	34546.089	35680.631	36500.758	36989.94	37539.942
"Malawi"	454	8622.171	9451.606	10505.816	11630.804	12932.941	14236.111	15618.428	16893.048	18161.829	19423.931	20419.214	21449.431	22482.854	23644.318	24103.831	24698.285	25284.46	25430.671
"Mauritius"	480	644.371	638.224	627.155	610.386	589.611	562.02	531.154	498.149	465.251	432.317	401.433	364.807	331.899	300.796	270.743	240.397	215.997	192.094
"Mayotte"	175	122.137	130.449	138.023	146.602	152.031	159.944	167.811	172.513	174.261	175.343	174.391	178.091	177.416	175.57	175.175	168.836	163.723	161.556
"Mozambique"	508	14311.663	15966.015	17785.28	19625.422	21479.623	23285.582	25326.306	27207.542	28897.621	30488.246	31899.826	33088.066	34022.049	34789.703	35288.471	35562.564	35710.452	35776.894
"Reunion"	638	444.386	446.511	450.266	450.89	448.918	443.3	437.896	430.144	414.221	396.962	379.985	363.211	345.017	326.257	309.461	292.954	276.153	261.583
"Rwanda"	646	6050.1	6190.058	6511.538	6827.742	7125.969	7544.117	7918.205	8332.314	8534.169	8628.859	8795.859	8613.99	8626.503	8704.78	8599.048	8348.283	8214.509	7971.904
"Seychelles"	690	47.605	47.94	48.229	48.097	47.774	47.319	46.492	44.913	43.403	41.29	39.71	38.264	36.401	34.45	32.656	30.689	29.307	27.494
