"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	3641738.973	3855016.353	4059393.615	4255651.859	4441746.657	4618690.585	4790120.471	4947951.768	5099653.24	5240815.519	5379245.222	5514555.946	5642974.234	5758518.165	5887504.523	6003183.195	6109829.1	6226237.536
"AFRICA"	903	592721.705	671836.649	756331.937	845977.731	942962.487	1045412.23	1154241.226	1266979.777	1381601.775	1501012.834	1624456.143	1750936.657	1876201.272	2001738.276	2134778.276	2264243.857	2399439.095	2527764.683
"Burundi"	108	5654.689	6813.764	8046.995	9361.65	10822.566	12561.993	14433.531	16543.274	18697.395	21085.818	23575.175	26210.453	28785.904	31956.894	35059.086	37841.88	41336.636	44428.601
"Comoros"	174	390.774	449.551	510.278	572.805	638.875	704.84	773.986	846.647	923.38	1001.83	1084.796	1165.433	1246.948	1315.301	1398.322	1480.86	1563.3	1613.89
"Djibouti"	262	442.019	554.844	662.213	757.124	843.42	923.179	1000.258	1073.762	1133.856	1172.133	1204.384	1265.789	1363.213	1411.559	1444.157	1489.232	1491.278	1562.585
"Eritrea"	232	2608.948	3076.508	3552.182	4059.79	4632.218	5192.285	5853.703	6478.451	7224.394	7889.783	8743.626	9499.163	10142.689	10859.364	11430.587	12278.176	12647.381	13295.717
"Ethiopia"	231	49783.139	57454.792	65600.58	74778.46	83449.173	93129.052	103200.25	113843.203	124458.617	135343.282	145933.615	156141.019	167046.462	178715.329	187752.659	198144.864	203650.995	208658.447
"Kenya"	404	23033.365	26315.284	29749.056	33393.342	37269.705	41259.426	45395.033	49765.877	53982.928	58546.526	63132.52	67263.97	71984.051	76084.103	79988.359	83677.676	87936.957	91450.549
"Madagascar"	450	12152.929	14104.102	16330.48	18795.549	21499.731	24518.983	27859.807	31616.688	35620.929	39819.528	44499.26	49211.395	54216.902	59671.57	65330.351	71044.963	77434.624	83983.217
"Malawi"	454	8622.171	10519.588	12534.748	14796.364	17314.043	20063.022	23261.264	26668.414	30331.011	33742.96	37579.205	42222.182	46763.45	51784.724	56654.816	61744.173	67142.467	73123.436
"Mauritius"	480	644.371	664.958	680.276	694.665	700.871	698.414	695.712	687.308	679.441	666.954	655.216	641.247	633.086	617.352	603.011	582.33	574.205	558.606
"Mayotte"	175	122.137	145.595	171.83	200.154	232.888	270.566	310.724	347.136	387.682	425.602	479.496	532.596	588.992	628.744	676.027	725.194	768.667	796.532
"Mozambique"	508	14311.663	16647.005	19223.161	22136.114	25436.281	29103.189	33196.276	37781.651	42565.486	47797.672	53546.348	59061.499	65425.633	72467.318	78731.268	85719.821	93829.199	100295.541
"Reunion"	638	444.386	475.16	502.995	531.2	556.965	583.656	606.649	625.722	646.043	666.991	690.021	713.731	730.512	754.997	775.691	793.395	818.763	834.635
"Rwanda"	646	6050.1	7285.986	8440.01	9646.869	10848.886	12270.446	13425.753	14671.919	16034.961	17338.449	18252.002	19382.968	20466.654	21519.992	22618.552	23330.084	24319.42	24677.663
"Seychelles"	690	47.605	50.886	53.842	56.419	59.045	61.446	63.752	65.335	66.862	67.937	68.869	69.382	70.795	71.304	72.559	74.221	74.116	75.304
"Somalia"	706	5419.167	7324.291	9227.067	11083.767	13098.438	15780.026	17892.832	20870.931	23769.059	27033.052	31184.993	34569.889	38682.14	41229.948	45960.389	52152.722	55368.104	59745.518
"South Sudan"	728	6160.58	7801.403	9515.697	11353.939	13140.441	15264.206	17570.306	20018.041	22141.878	24244.148	26802.415	28826.483	31450.445	34920.437	37003.903	39057.29	41129.306	43097.457
