"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	3706677.378	3925737.887	4133212.136	4329086.664	4515788.858	4694506.69	4868435.74	5033492.651	5186356.779	5335700.887	5481574.834	5619551.174	5758903.046	5878985.062	5996186.624	6120108.649	6246056.014	6364858.708
"AFRICA"	903	593452.616	674738.366	761001.19	852501.008	950996.512	1054321.882	1165439.028	1279572.596	1394053.44	1515288.897	1639972.814	1765011.357	1892942.831	2016430.978	2148870.299	2282842.663	2416632.615	2542164.954
"Burundi"	108	5524.232	6725.674	7982.967	9342.95	10803.925	12653.489	14533.729	16624.136	18805.2	21121.194	23809.799	26293.969	29056.576	32511.189	35022.731	38170.209	41427.439	44393.277
"Comoros"	174	397.7	458.083	519.801	583.606	650.882	716.487	786.387	860.78	935.408	1017.668	1098.707	1177.996	1263.515	1325.241	1403.555	1481.094	1566.312	1616.131
"Djibouti"	262	445.842	558.377	665.457	758.627	842.77	923.789	988.93	1059.506	1124.995	1157.478	1188.828	1237.448	1333.535	1368.505	1400.502	1461.257	1435.19	1513.001
"Eritrea"	232	2618.843	3103.233	3593.998	4111.093	4702.639	5297.297	5956.833	6625.848	7393.729	8115.027	8972.181	9716.983	10331.988	11189.075	11666.705	12533.171	13006.126	13635.362
"Ethiopia"	231	49607.611	58238.457	66991.195	76530.887	86083.873	96237.091	107625.945	118767.957	130253.605	142175.18	154635.902	166270.313	177187.064	187402.647	194919.405	205040.984	211002.874	219295.038
"Kenya"	404	23016.937	26338.426	29826.488	33492.54	37365.234	41250.074	45373.489	49666.95	53878.284	58148.94	62426.52	66732.099	70588.526	74730.236	78457.806	81965.214	86064.607	89420.654
"Madagascar"	450	12082.461	14058.196	16309.529	18829.233	21572.529	24611.103	28024.374	31878.752	35940.868	40188.853	44952.657	49795.457	54925.001	60409.24	66287.972	71819.542	78240.727	84682.621
"Malawi"	454	8593.061	10766.26	13020.008	15516.586	18179.366	21140.135	24485.776	28075.503	32034.602	35572.737	39743.693	44183.121	49105.436	54978.08	60202.322	65139.673	70699.569	76258.187
"Mauritius"	480	628.841	644.942	656.88	667.184	673.178	668.641	664.816	656.509	648.231	640.259	625.873	614.536	609.503	603.359	595.047	575.881	563.083	557.658
"Mayotte"	175	117.878	141.371	167.421	196.097	229.243	265.855	305.779	343.201	383.127	421.855	474.261	529.413	582.237	626.178	670.862	718.707	757.472	794.252
"Mozambique"	508	13666.2	16828.049	19938.826	23425.041	27219.799	30984.738	35416.645	40111.036	45054.951	50604.53	57327.494	62454.25	68558.607	74882.686	82739.754	88824.303	96748.142	103714.423
"Reunion"	638	416.768	446.435	473.325	500.993	525.56	551.994	576.576	597.345	621.17	646.969	672.761	705.197	729.843	753.733	770.344	797.857	821.387	822.206
"Rwanda"	646	5559.566	7213.369	8616.39	9995.204	11392.243	13213.038	14503.323	15924.444	17571.533	18798.863	19945.065	21194.864	22075.414	23134.612	24561.934	24833.096	26067.027	26476.349
"Seychelles"	690	48.866	52.286	55.118	57.227	59.973	62.119	63.987	66.04	67.619	68.844	69.709	70.551	72.136	73.007	75.311	75.148	75.598	75.679
"Somalia"	706	5367.937	7269.111	9162.681	11021.5	13026.252	15721.223	17783.307	20829.735	23595.05	26908.799	30879.77	34572.385	38129.951	40852.047	45482.594	51189.851	55010.762	58383.563
"South Sudan"	728	6179.232	7848.232	9598.181	11455.376	13342.301	15455.651	17841.388	20309.002	22455.035	24612.803	27064.507	29284.274	32065.19	35457.274	37845.336	39737.838	41623.745	43786.663
"Uganda"	800	19507.178	23233.395	27420.337	32056.859	37224.59	42996.094	49065.2	55547.36	62356.944	69518.904	77605.713	85596.082	94628.218	104128.702	113874.763	123495.651	131865.595	142871.33
"United Republic of Tanzania"	834	26574.231	31694.567	37489.273	44220.274	52135.473	60976.93	70826.507	82030.705	93850.662	107230.442	121672.068	137530.624	154247.645	172610.322	193476.177	213795.974	235540.175	257951.855
"Zambia"	894	8093.647	9498.254	11082.47	12832.057	14786.472	16932.845	19273.385	21879.352	24674.226	27662.29	31002.865	34570.642	38398.736	42593.326	46963.926	51210.979	55572.257	60263.206
"Zimbabwe"	716	7687.557	8708.72	9698.097	10722.81	11803.04	12953.934	14155.439	15318.922	16442.072	17535.491	18680.674	19820.383	20915.445	21674.025	22473.788	23363.581	24248.247	24765.243
"Angola"	24	12416.192	14858.334	17684.367	20752.036	24241.483	28053.593	32372.09	37120.004	42019.772	48036.786	54093.67	60360	67426.942	74863.205	82607.139	89889.34	97425.166	105434.916
