"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	3706677.378	3891976.852	4060278.243	4209241.065	4345024.025	4467296.052	4571846.821	4652224.159	4725802.692	4778217.148	4831046.591	4856195.802	4877133.504	4904161.845	4900141.672	4899985.036	4877434.611	4845178.155
"AFRICA"	903	593452.616	664288.935	739476.994	815961.69	895947.74	975377.191	1056276.901	1134203.269	1203903.79	1274270.666	1343836.091	1404916.097	1460458.854	1513764.439	1551200.702	1597016.558	1612201.587	1641934.508
"Burundi"	108	5524.232	5999.429	6470.545	6913.42	7333.803	7746.073	8113.014	8356.55	8622.201	8714.384	8610.476	8622.739	8526.033	8435.17	8176.665	8174.484	7853.146	7511.964
"Comoros"	174	397.7	423.208	453.526	477.573	503.016	519.291	534.181	550.963	561.129	558.771	548.996	540.764	526.069	509.736	490.641	486.719	467.861	448.007
"Djibouti"	262	445.842	366.47	337.491	327.421	319.093	314.421	298.916	290.561	268.084	250.057	228.509	211.786	195.255	172.811	171.741	158.405	152.694	139.782
"Eritrea"	232	2618.843	2698.84	2799.575	2853.475	2951.118	3063.107	3197.366	3334.681	3481.12	3471.58	3579.944	3523.753	3343.684	3178.869	3005.438	2964.23	2892.216	2798.51
"Ethiopia"	231	49607.611	52523.665	56083.794	59337.96	62999.856	66117.198	69300.894	71593.482	73275.399	72475.706	72212.307	72955.916	71445.188	70748.039	66469.018	64299.014	62132.502	59347.21
"Kenya"	404	23016.937	25388.201	27749.152	30034.576	32192.848	34044.065	35592.727	36740.02	37716.622	38068.851	38101.23	38117.256	37161.359	36599.063	35469.906	34425.049	33049.002	31174.197
"Madagascar"	450	12082.461	13635.41	15263.914	16897.183	18508.02	20163.802	21783.533	23261.397	24589.464	25769.632	27104.211	28035.615	28649.551	29244.406	29760.706	30266.728	30243.282	30155.768
"Malawi"	454	8593.061	8878.533	9605.318	10431.412	11235.079	12299.835	13179.413	13860.429	14514.92	15148.115	16167.959	16580.502	16773.824	16924.472	17216.632	16859.683	17055.618	16629.428
"Mauritius"	480	628.841	611.334	588.823	562.13	529.89	497.527	466.799	426.16	391.263	360.678	322.795	290.821	260.082	232.925	203.831	174.063	148.237	130.811
"Mayotte"	175	117.878	123.231	127.595	129.03	131.624	130.048	130.105	130.229	131.632	128.989	122.641	117.767	116.914	113.98	109.148	105	97.213	87.753
"Mozambique"	508	13666.2	13824.89	14931.03	15769.557	17035.511	17894.239	19449.405	20244.521	21772.478	22458.317	22884.39	23530.017	24164.008	24029.615	24007.974	23609.858	21990.796	21771.853
"Reunion"	638	416.768	408.877	400.458	400.92	393.771	383.832	370.251	354.789	334.297	316.976	294.413	276.16	255.075	234.115	214.248	197.435	180.804	170.874
"Rwanda"	646	5559.566	4832.193	4811.647	4831.456	5064.195	5206.113	5354.155	5460.4	5481.281	5542.734	5507.22	5138.663	4958.212	5088.609	4814.827	4757.221	4545.958	4214.932
"Seychelles"	690	48.866	46.266	44.177	41.932	39.479	37.023	34.995	32.8	30.103	28.305	26.764	24.541	23.003	20.671	18.554	17.473	16.414	15.222
"Somalia"	706	5367.937	4712.059	5058.129	5376.759	5926.852	6273.283	6608.513	6926.431	6969.613	7416.762	7347.019	7062.264	7052.268	6703.914	6366.674	5985.178	5917.477	5674.187
"South Sudan"	728	6179.232	6115.847	6242.974	6397.214	6587.463	6854.086	7018.082	6977.839	7240.973	7124.627	6929.918	6746.365	6594.408	6438.93	6166.942	5930.346	6013.206	5874.104
"Uganda"	800	19507.178	22067.086	24735.247	27160.152	29438.788	31592.951	33317.202	34540.554	35527.99	36478.956	36580.468	37011.734	36563.112	35758.533	34808.663	33229.712	31756.64	29882.22
"United Republic of Tanzania"	834	26574.231	30238.311	34332.194	38690.79	43302.393	47858.118	52467.777	56274.628	60573.147	64072.326	68202.32	70986.763	74219.601	76902.407	78506.598	80375.629	81576.137	82199.01
