"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7348416.351	7780360.819	8193216.351	8583881.912	8955952.641	9312377.789	9656682.379	9983097.898	10285013.648	10574215.886	10852034.393	11135107.213	11386678.297	11637433.949	11886904.53	12139765.44	12356691.463	12590742.286
"AFRICA"	903	1186174.321	1346535.369	1517130.104	1699286.268	1893797.713	2100693.566	2318892.577	2545890.342	2775351.164	3012963.319	3263714.172	3515667.598	3766180.627	4015457.08	4280482.961	4541589.729	4816375.715	5073831.331
"Burundi"	108	11178.921	13543.686	16021.257	18700.461	21593.821	25170.078	28965.519	33084.179	37498.261	42150.297	47397.84	52557.354	57901.021	64194.931	70339.007	76116.743	82680.366	88831.486
"Comoros"	174	788.474	907.544	1030.344	1157.033	1289.829	1420.385	1558.322	1705.34	1857.829	2019.344	2178.157	2344.341	2507.893	2657.614	2802.578	2948.023	3119.956	3224.969
"Djibouti"	262	887.861	1113.495	1327.67	1514.801	1689.667	1846.718	1989.275	2134.256	2267.438	2329.505	2397.618	2505.424	2692.385	2772.406	2851.732	2955.818	2925.662	3093.91
"Eritrea"	232	5227.791	6180.537	7142.069	8159.457	9332.089	10495.147	11806.665	13114.9	14604.967	16015.358	17717.33	19231.363	20395.416	22074.408	23013.475	24826.952	25654.852	26807.195
"Ethiopia"	231	99390.75	115655.335	132540.375	151479.475	169576.691	189121.046	210295.41	232217.369	255127.574	277953.55	299611.712	319579.195	344707.496	363512.716	383624.165	401843.426	414420.479	431142.405
"Kenya"	404	46050.302	52646.133	59581.892	66899.906	74641.924	82516.951	90781.49	99351.489	107867.132	116833.791	125596.905	133742.688	142515.364	150607.87	158151.923	165757.871	174061.548	181031.129
"Madagascar"	450	24235.39	28160.223	32635.61	37602.39	43051.786	49145.391	55824.704	63456.11	71494.784	80039.126	89463.938	98905.916	109077.86	120064.094	131937.812	142883.277	155734.424	168728.47
"Malawi"	454	17215.232	21285.652	25550.533	30307.298	35476.689	41160.955	47661.317	54749.712	62301.25	69466.627	77260.456	86435.26	95503.426	107173.229	117578.638	127493.164	138767.688	148815.47
"Mauritius"	480	1273.212	1309.712	1336.625	1362.111	1374.894	1363.987	1362.62	1344.219	1330.457	1306.853	1279.814	1253.963	1237.765	1215.369	1190.494	1156.948	1139.657	1115.264
"Mayotte"	175	240.015	287.035	339.211	396.462	462.282	536.213	617.097	690.219	771.659	847.686	952.94	1062.284	1171.765	1254.932	1343.995	1444.795	1526.138	1592.714
"Mozambique"	508	27977.863	33453.53	39104.842	45423.995	52584.82	59983.868	68404.796	77545.357	87264.542	97303.623	109084.887	119654.689	133329.402	146489.014	161382.018	173601.4	190646.555	202035.695
"Reunion"	638	861.154	921.37	976.925	1032.165	1082.745	1133.61	1183.433	1225.004	1268.811	1314.562	1358.832	1412.405	1461.335	1499.905	1552.522	1589.479	1642.479	1657.96
"Rwanda"	646	11609.666	14508.043	17074.097	19641.217	22234.798	25462.789	27987.8	30657.27	33620.156	36051.869	38221.706	40912.167	42518.946	44705.748	46964.276	48428.193	50149.919	51809.702
"Seychelles"	690	96.471	103.159	108.901	113.719	118.976	123.313	127.696	131.369	134.928	136.458	138.746	139.765	142.628	144.016	148.002	149.446	149.723	151.277
"Somalia"	706	10787.104	14585.527	18384.147	22112.607	26111.322	31463.585	35629.906	41706.909	47251.836	54016.471	62069.158	69155.261	76865.019	82130.686	91685.739	103342.573	110009.454	117734.131
