"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7348416.351	7716224.144	8055376.599	8356705.672	8628106.5	8880715.621	9091433.834	9265942.69	9417246.894	9534863.975	9621413.3	9683833.825	9727213.478	9753849.196	9759502.947	9748884.838	9736497.417	9681630.627
"AFRICA"	903	1186174.321	1327618.831	1477681.834	1633946.482	1792897.647	1953614.477	2111125.768	2274466.997	2424802.261	2566965.807	2712124.687	2849115.522	2963252.443	3081225.011	3186689.714	3280721.441	3351239.082	3414597.239
"Burundi"	108	11178.921	12196.134	13033.096	14019.844	14964.619	15774.997	16430.375	17414.336	18107.52	18499.382	18705.726	18238.377	18164.965	18284.541	17802.164	17098.486	16760.188	16072.682
"Comoros"	174	788.474	838.365	893.449	945.26	998.15	1050.915	1089.199	1117.962	1140.112	1163.135	1160.702	1166.223	1161.64	1133.707	1082.711	1039.659	1005.667	983.313
"Djibouti"	262	887.861	723.134	688.232	653.168	639.315	624.54	620.451	615.985	575.307	553.48	512.697	475.133	424.36	383.042	365.974	329.448	292.811	248.471
"Eritrea"	232	5227.791	5361.082	5492.563	5750.62	5932.251	6228.589	6333.365	6471.991	6634.419	6656.141	6662.777	6577.453	6500.571	6436.249	6324.762	6270.377	5986.306	5680.925
"Ethiopia"	231	99390.75	106411.099	114232.465	121900.261	129060.683	137243.337	142468.072	146573.594	149941.387	152126.829	153287.693	152728.375	150947.966	147593.355	144063.212	139315.086	130142.426	124504.808
"Kenya"	404	46050.302	50928.383	55545.429	60001.728	64212.943	68113.504	71554.944	74357.785	76440.712	77826.423	78121.904	78375.094	78045.168	76932.144	74824.317	72304.188	68935.725	65378.908
"Madagascar"	450	24235.39	27295.429	30612.744	33821.011	37204.53	40499.714	43789.808	46895.172	49823.078	52600.439	54707.738	56341.838	58016.846	59411.83	60641.615	60612.319	60966.938	59848.143
"Malawi"	454	17215.232	17729.905	19224.082	21119.665	22878.05	24980.679	26786.037	29360.32	31053.454	33218.525	34375.889	36440.78	36887.869	37383.156	38252.127	39027.163	38683.121	37577.059
"Mauritius"	480	1273.212	1239.857	1198.083	1146.784	1086.1	1018.837	947.762	859.542	775.669	694.571	618.357	555.318	494.37	431.876	369.412	318.327	264.942	222.243
"Mayotte"	175	240.015	249.51	252.523	252.675	258.599	253.984	263.464	264.451	265.943	267.459	258.637	247.731	231.746	222.118	215.953	209.067	195.706	184.51
"Mozambique"	508	27977.863	29456.207	31825.796	34794.804	37698.921	41135.19	43455.054	46727.85	48218.955	50375.88	50882.74	51790.874	51775.787	52114.492	51311.941	51157.698	50176.268	49188.193
"Reunion"	638	861.154	847.944	840.959	821.107	790.876	751.926	708.315	649.572	586.667	511.869	438.864	366.652	306.119	249.398	191.683	149.072	115.83	87.612
"Rwanda"	646	11609.666	10926.301	11092.605	11004.353	11417.186	11971.02	12440.455	13129.05	13316.075	12775.831	13286.49	12836.659	12550.135	12226.321	11459.464	11184.028	10522.912	10206.358
"Seychelles"	690	96.471	92.82	90.237	87.122	84.467	80.122	75.441	70.973	67.4	61.736	57.372	53.237	51.559	47.716	43.649	40.522	37.004	33.521
"Somalia"	706	10787.104	9641.248	10233.64	11203.187	12221.141	12842.977	13631.288	14366.005	14773.426	14899.733	14748.239	14874.946	15043.459	14635.146	14335.322	14688.237	14917.817	13780.869
"South Sudan"	728	12339.812	12242.277	12902.21	13299.341	13757.274	14159.347	14831.782	15077.814	14896.32	14770.702	14649.973	14554.751	14382.192	14603.748	13874.649	13512.776	13292.051	12539.34
"Uganda"	800	39032.383	44215.898	49833.222	54710.854	59389.993	63699.552	67562.548	71413.034	72859.201	74931.531	76022.678	75239.242	74964.362	74275.201	70840.51	68747.871	66648.738	64736.915
"United Republic of Tanzania"	834	53470.42	60874.471	68953.719	77621.186	86981.821	96429.874	105740.875	115403.295	125168.643	133634.337	139647.771	144152.45	151994.378	159549.096	163392.175	166014.673	168181.871	167814.12
"Zambia"	894	16211.767	18333.515	20582.26	22839.76	25084.165	27492.153	29489.43	31494.032	33107.361	34226.745	34642.563	35471.126	36135.892	36094.602	35914.478	35155.262	34446.441	33520.993
"Zimbabwe"	716	15602.751	16572.443	17316.134	18065.812	18797.979	19456.712	20030.607	20138.084	20209.254	20055.905	19813.934	19367.803	18836.389	17949.96	17064.235	16243.546	15382.013	14773.505
"Angola"	24	25021.974	28066.081	31324.381	34576.156	37656.691	40287.417	41537.37	43709.509	45533.459	46519.988	48033.096	48362.177	48667.507	49313.452	48793.353	47314.916	45686.196	43316.898
"Cameroon"	120	23344.179	25685.165	27942.212	29919.018	31736.94	33373.363	34811.515	35744.793	36231.915	36573.518	36291.94	36151.79	35480.663	34538.053	33461.1	32126.973	30617.015	28718.462
"Central African Republic"	140	4900.274	5182.425	5429.131	5589.173	5726.617	5819.276	5836.098	5821.746	5694.166	5563.523	5356.458	5136.245	4891.256	4523.936	4312.337	3977.508	3631.734	3357.415
"Chad"	148	14037.472	15832.214	17665.991	19374.705	20831.257	22296.115	23062.271	23889.714	24358.604	24407.747	24150.646	23883.159	23552.865	22906.329	22384.198	21526.071	20426.017	19196.857
"Congo"	178	4620.33	5113.934	5645.305	6175.25	6727.72	7227.828	7763.012	8269.23	8642.873	9032.407	9403.866	9609.914	9818.575	9735.127	9726.485	9671.666	9385.823	9158.704
