"name"	"country_code"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"World"	900	7686985.883	7957044.109	8171053.76	8356746.749	8506310.111	8607926.881	8652637.202	8643672.685	8591361.857	8501880.3	8378840.89	8222113.632	8034959.685	7822769.121	7589220.797	7338159.013	7071954.657
"Africa"	903	1327413.045	1469263.616	1612491.388	1761400.567	1912201.176	2060524.441	2201161.62	2331895.698	2452305.772	2561572.372	2657614.514	2737332.331	2800605.164	2846979.066	2875485.45	2886208.734	2879662.183
"Burundi"	108	12876.035	14567.097	16208.465	17995.468	19926.76	21912.647	23855.383	25702.088	27400.648	29039.034	30533.12	31903.125	33042.923	33946.962	34659.604	35126.866	35423.828
"Comoros"	174	874.094	955.716	1035.691	1112.786	1187.364	1255.69	1316.525	1366.782	1406.776	1434.786	1452.659	1458.999	1457.072	1443.157	1417.32	1381.726	1337.53
"Djibouti"	262	931.025	979.487	1032.396	1074.187	1108.299	1136.873	1150.627	1147.905	1146.995	1143.438	1139.481	1110.697	1078.62	1043.673	998.043	956.455	913.344
"Eritrea"	232	5817.646	6402.701	7005.811	7651.106	8260.939	8854.885	9384.859	9821.469	10195.333	10535.027	10842.688	11019.568	11103.944	11097.575	11087.098	10973.871	10797.158
"Ethiopia"	231	110943.151	122344.306	133744.442	144694.771	155468.265	165758.978	174781.74	182795.66	189526.416	195210.862	199239.871	201868.936	203271.499	202538.55	200564.194	197430.208	192504.653
"Kenya"	404	51436.325	56602.572	61606.981	66532.415	71235.722	75495.422	79213.075	82248.294	84553.346	86197.008	87190.778	87443.758	87000.055	85801.861	83980.252	81616.044	78844.532
"Madagascar"	450	27564.788	31066.488	34693.399	38500.396	42422.891	46396.205	50344.432	54191.396	57950.226	61495.498	64835.325	67881.99	70592.267	72849.668	74687.583	76080.484	76961.599
"Malawi"	454	19791.067	22605.265	25634.186	28984.892	32396.175	35959.661	39585.656	43242.774	46880.886	50292.475	53595.358	56749.219	59357.732	62045.63	64345.984	65923.358	67588.398
"Mauritius"	480	1269.123	1246.956	1211.638	1168.474	1116.144	1053.761	986.584	915.893	843.659	771.876	700.056	628.318	558.734	491.064	426.877	367.517	314.639
"Mayotte"	175	270.004	299.413	329.921	360.62	389.219	417.106	443.495	467.187	489.481	508.264	523.005	535.417	543.683	548.883	547.762	546.187	540.291
"Mozambique"	508	31742.335	35709.644	39771.244	44080.609	48558.034	52878.537	57484.737	61868.574	66201.509	70092.959	73816.743	77138.268	80050.555	82738.797	84937.614	86245.109	87079.517
"Reunion"	638	885.397	901.971	909.668	911.961	911.804	901.96	882.079	855.11	823.936	788.78	750.951	714.334	676.039	635.495	593.598	551.526	508.891
"Rwanda"	646	12930.087	14214.817	15256.921	16432.335	17678.85	18772.411	19670.063	20374.302	20896.537	21357.496	21628.393	21631.75	21494.436	21256.173	20838.679	20410.019	19759.032
"Seychelles"	690	98.46	99.471	99.407	98.811	97.914	96.169	93.576	90.437	86.861	83.048	79.087	75.236	71.149	67.243	63.332	59.397	55.433
"Somalia"	706	12535.249	14342.424	16456.385	18891.427	21180.985	23687.392	26309.697	28881.751	31502.154	33900.928	36550.698	38563.594	40501.974	42061.368	43182.725	44098.203	44753.217
"South Sudan"	728	14276.829	16101.38	17834.506	19605.221	21324.658	23099.541	24659.611	26243.066	27672.9	29082.298	30277.521	31542.719	32672.74	33396.751	33916.495	34283.769	34394.474
"Uganda"	800	45224.791	51729.45	58547.525	65747.06	73009.745	79961.65	86622.509	92794.159	98459.571	103515.446	107830.194	111233.673	113882.825	115678.29	116473.815	116291.531	115258.013
"United Republic of Tanzania"	834	61882.809	71098.474	81160.914	92370.628	104427.286	117027.062	130071.742	143362.176	156869.449	170379.064	183718.569	196387.198	208487.246	219996.614	230486.285	239937.121	248040.553
"Zambia"	894	18598.386	21113.182	23772.906	26621.29	29583.152	32566.423	35506.524	38346.754	41075.974	43707.864	46148.027	48364.534	50391.893	52131.957	53553.282	54692.756	55515.097
"Zimbabwe"	716	17038.706	18291.688	19429.449	20549.614	21593.015	22523.537	23255.218	23761.554	24101.629	24282.838	24276.63	24095.728	23737.342	23212.103	22552.072	21763.884	20852.97
"Angola"	24	28985.494	33261.084	37787.458	42638.29	47553.546	52554.997	57429.579	62424.498	67302.72	71969.171	76264.755	80005.549	83267.919	86063.697	88319.645	89800.149	90739.161
"Cameroon"	120	25981.923	28506.45	30926.501	33308.718	35559.034	37603.41	39342.761	40744.801	41829.253	42629.442	43111.367	43248.257	43028.903	42477.528	41630.949	40534.648	39205.763
"Central African Republic"	140	5301.682	5650.614	5943.461	6194.603	6394.934	6534.726	6613.763	6621.225	6567.47	6446.916	6277.84	6062.77	5806.565	5519.578	5206.165	4880.561	4550.623
"Chad"	148	16261.012	18571.658	20928.969	23330.171	25805.197	28206.467	30503.672	32602.209	34556.37	36302.784	37787.98	38976.078	39879.187	40442.143	40669.125	40568.089	40153.3
"Congo"	178	5205.693	5808.182	6441.021	7113.111	7803.805	8484.878	9132.696	9745.755	10321.147	10855.204	11336.498	11754.676	12088.601	12348.405	12516.314	12615.133	12630.651
"Dem. Republic of the Congo"	180	89515.103	102743.124	116823.965	131884.539	147747.255	163951.536	180023.437	195972.57	211534.686	227340.956	242155.939	255557.001	268000.627	278809.664	288168.636	295847.994	301481.983
"Equatorial Guinea"	226	948.583	1046.827	1137.134	1214.803	1308.473	1397.059	1476.58	1549.137	1613.397	1666.97	1724.411	1767.469	1793.742	1802.354	1789.817	1768.957	1727.615
"Gabon"	266	1898.778	2061.765	2213.671	2357.906	2495.398	2618.897	2723.39	2803.793	2859.113	2891.229	2903.454	2892.752	2861.211	2810.639	2742.226	2659.882	2567.824
"Sao Tome and Principe"	678	210.277	229.53	248.131	267.24	285.961	303.819	319.986	334.339	346.397	354.774	359.819	362.389	362.936	361.418	358.197	351.45	343.357
"Algeria"	12	42514.892	44603.06	46054.934	47170.696	48140.946	48968.78	49497.06	49589.575	49150.358	48257.662	47029.924	45580.116	43945.217	42175.452	40254.758	38204.947	36032.498
"Egypt"	818	99505.047	106200.6	112065.398	117966.825	123857.865	128884.107	132939.355	135737.243	137478.096	138368.4	138285.342	137464.72	135892.536	133635.447	130535.551	126643.35	122186.466
"Libya"	434	6236.21	6145.122	6040.31	5944.544	5852.553	5745.983	5585.019	5382.4	5126.613	4865.574	4619.405	4390.35	4172.09	3956.606	3720.318	3468.099	3218.034
"Morocco"	504	36017.106	37077.461	37670.85	37963.46	37994.276	37773.431	37245.399	36398.575	35211.921	33779.245	32038.646	30026.977	27901.674	25684.771	23455.773	21254.102	19037.202
"Sudan"	729	44669.229	49334.91	53950.101	58714.085	63323.882	67727.488	71992.192	75643.06	78767.411	81577.807	83812.264	85422.521	86397.317	86853.366	86807.687	86120.019	84911.762
"Tunisia"	788	11691.077	11950.533	12054.067	12067.007	12016.523	11906.354	11695.114	11415.463	11035.785	10585.995	10078.9	9556.46	9018.977	8486.718	7960.518	7423.183	6883.479
"Western Sahara"	732	562.294	556.874	572.99	592.908	596.329	605.13	604.3	599.556	590.089	579.708	561.323	547.296	538.242	520.543	499.488	486.319	468.931
"Botswana"	72	2438.294	2573.943	2674.888	2762.589	2828.661	2866.396	2876.547	2854.563	2803.728	2729.583	2643.69	2546.649	2439.545	2325.747	2204.017	2075.337	1947.706
"Lesotho"	426	2234.96	2311.206	2366.762	2419.762	2462.914	2494.117	2510.749	2512.208	2496.925	2461.154	2404.674	2331.613	2246.233	2145.967	2036.097	1916.707	1790.212
"Namibia"	516	2693.617	2899.846	3082.406	3247.541	3380.456	3497.401	3588.601	3627.913	3643.668	3614.637	3553.421	3472.189	3366.778	3235.146	3089.055	2925.65	2756.48
